,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.19,0.73,0.18,0.39,0.77,0.31,0.29,0.58,0.69,0.56,0.44,0.57,0.42,0.3,0.82,0.92,0.47,0.41
arm-webradio.csv,0.33,0.44,0.06,0.35,0.6,0.23,0.06,0.22,0.64,0.37,0.08,0.3,0.24,0.36,0.73,0.94,0.24,0.18
bwapi.csv,0.95,0.82,0.96,0.97,0.57,0.98,0.96,0.97,0.31,0.57,1.0,0.93,0.93,1.0,0.27,0.19,0.82,0.89
co-ode-owl-plugins.csv,0.62,0.51,0.16,0.59,0.54,0.36,0.04,0.05,0.82,0.95,0.07,0.23,0.42,0.74,0.55,1.0,0.43,0.16
firebreath.csv,0.29,0.82,0.44,0.45,0.43,0.33,0.15,0.88,0.9,0.48,0.47,0.23,0.64,0.27,0.06,0.44,0.25,0.73
frogatto.csv,0.24,0.55,0.78,0.45,0.4,0.46,0.5,0.86,0.19,0.36,0.93,0.47,0.67,1.0,0.24,0.69,0.46,0.71
gretl.csv,0.43,0.47,0.19,0.23,0.97,0.49,0.27,0.37,0.58,0.94,0.2,0.4,0.44,0.52,0.94,0.97,0.53,0.41
jasperreports.csv,0.57,0.64,0.94,0.83,0.6,0.83,1.0,0.98,0.66,0.13,0.9,0.67,0.67,0.13,0.55,0.03,0.83,0.79
konversation.csv,0.14,0.2,0.22,0.17,0.09,0.28,0.23,0.17,0.13,0.55,0.31,0.17,0.36,0.26,0.06,0.08,0.34,0.15
linuxsh.csv,0.43,0.31,0.1,0.06,0.6,0.18,0.06,0.16,0.87,0.83,0.02,0.07,0.13,0.13,0.58,0.94,0.25,0.09
moviesandbox.csv,0.62,0.24,0.43,0.34,0.4,0.48,0.08,0.26,0.52,0.58,0.08,0.13,0.29,0.52,0.21,0.64,0.39,0.24
ontomorphtab.csv,0.24,0.56,0.47,0.34,0.6,0.38,0.42,0.64,0.64,0.54,0.25,0.23,0.45,0.25,0.27,0.25,0.39,0.66
opengs.csv,0.0,0.49,0.17,0.27,0.54,0.28,0.1,0.0,0.3,0.19,0.0,0.2,0.42,0.3,0.27,0.22,0.24,0.0
scite-ru.csv,0.76,0.53,0.54,0.69,0.71,0.67,0.31,0.65,0.56,0.9,0.81,0.3,0.55,1.0,0.55,1.0,0.84,0.67
tokratan.csv,0.19,0.29,0.13,0.15,0.43,0.18,0.0,0.01,0.03,0.22,0.22,0.3,0.42,0.45,0.0,0.03,0.18,0.46
vrjuggler.csv,0.24,0.05,0.19,0.02,0.14,0.09,0.19,0.08,0.06,0.05,0.44,0.33,0.11,0.29,0.18,0.75,0.04,0.16
wxcode.csv,0.05,0.2,0.13,0.13,0.23,0.14,0.04,0.02,0.0,0.04,0.14,0.13,0.31,0.36,0.0,0.0,0.18,0.52
xuggle.csv,0.19,0.56,0.27,0.2,0.54,0.39,0.38,0.35,0.4,0.32,0.37,0.27,0.53,0.98,0.39,0.67,0.29,0.38
