,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,array4j.csv
array4j.csv,0.67,0.24,0.15,0.06,0.71,0.74,0.08,0.38,0.13,0.11,0.0,0.22,0.0,0.19,
e-bio-flow.csv,0.51,0.37,0.67,0.44,0.06,0.22,,0.1,0.07,0.43,0.14,0.04,0.98,0.26,0.16
emono.csv,0.99,1.0,0.99,0.92,0.98,0.9,0.96,0.87,1.0,0.9,0.79,0.92,,0.87,1.0
jas.csv,0.24,0.04,0.14,0.28,0.19,0.08,0.19,0.24,0.0,0.22,0.35,,0.36,0.06,0.21
jbpm.csv,0.0,0.01,,0.02,0.0,0.02,0.06,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.08
jgossipforum.csv,0.2,0.02,0.06,0.03,0.11,0.04,0.23,,0.03,0.13,0.15,0.03,0.02,0.03,0.33
jmonkeyengine.csv,0.46,0.22,0.33,0.53,0.39,,0.35,0.28,0.15,0.64,0.35,0.32,0.69,0.45,0.67
joustsim.csv,0.44,0.13,0.17,0.13,0.58,0.36,0.17,0.08,,0.34,0.45,0.04,0.4,0.1,0.16
log4net.csv,0.04,0.0,0.01,,0.02,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02
ngl.csv,0.62,0.8,0.87,0.84,0.85,0.38,0.65,0.71,0.42,0.91,,0.64,0.81,0.92,0.81
piccolo2d.csv,0.04,,0.06,0.02,0.02,0.08,0.06,0.0,0.05,0.0,0.0,0.03,0.0,0.1,0.03
pustefix.csv,0.12,0.18,0.14,0.18,,0.24,0.1,0.07,0.03,0.35,0.39,0.35,0.19,0.66,0.08
reaper3d.csv,0.07,0.0,0.03,0.03,0.05,0.0,0.02,0.05,0.0,,0.01,0.0,0.0,0.0,0.19
sblim.csv,,0.15,0.12,0.11,0.08,0.06,0.42,0.14,0.08,0.04,0.39,0.08,0.76,0.29,0.19
thedata.csv,0.55,0.56,0.62,0.53,0.44,0.26,0.6,0.54,0.22,0.47,0.29,0.32,0.4,,0.68
