,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,array4j.csv
array4j.csv,0.11,0.27,0.25,0.0,0.52,0.48,0.16,0.6,0.11,0.0,0.01,0.65,0.11,0.29,
e-bio-flow.csv,0.26,0.62,0.6,0.64,0.26,0.48,,0.45,0.11,0.51,0.12,0.0,0.09,0.29,0.0
emono.csv,0.05,0.0,0.05,0.3,0.09,0.34,0.17,0.39,0.0,0.34,0.5,0.29,,0.43,0.0
jas.csv,0.58,0.0,0.55,0.0,0.2,0.38,0.16,0.94,0.11,0.29,0.61,,0.3,0.0,0.07
jbpm.csv,0.06,0.0,,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.07
jgossipforum.csv,0.59,0.1,0.07,0.0,0.16,0.13,0.34,,0.22,0.43,0.29,0.0,0.13,0.0,0.35
jmonkeyengine.csv,0.74,0.1,0.56,0.35,0.64,,0.46,0.23,0.21,0.54,0.58,0.14,0.52,0.28,0.41
joustsim.csv,0.62,0.1,0.43,0.38,0.67,0.47,0.16,0.45,,0.63,0.63,0.43,0.48,0.29,0.07
log4net.csv,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
ngl.csv,0.71,0.53,0.43,0.41,0.45,0.66,0.67,0.67,0.69,0.32,,0.68,0.46,0.3,0.47
piccolo2d.csv,0.11,,0.12,0.0,0.0,0.0,0.04,0.0,0.11,0.0,0.02,0.0,0.0,0.29,0.15
pustefix.csv,0.11,0.35,0.49,0.37,,0.64,0.24,0.0,0.0,0.0,0.25,0.41,0.3,0.26,0.0
reaper3d.csv,0.27,0.0,0.0,0.0,0.05,0.07,0.04,0.24,0.0,,0.02,0.0,0.0,0.0,0.07
sblim.csv,,0.43,0.47,0.0,0.2,0.13,0.49,0.0,0.21,0.0,0.62,0.0,0.53,0.29,0.14
thedata.csv,0.67,0.33,0.37,0.62,0.38,0.2,0.55,0.7,0.49,0.69,0.58,0.63,0.5,,0.52
