,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.03,0.05,0.21,0.01,0.01,0.15,0.14,0.77,0.67,0.0
critterding.csv,0.51,0.29,0.68,0.46,0.93,0.56,0.73,0.89,0.38,0.63
enlightenment.csv,0.36,1.0,1.0,0.33,1.0,0.96,1.0,0.28,0.92,1.0
exordium.csv,0.02,0.71,0.3,0.01,0.66,0.26,0.0,0.33,0.0,0.07
google-caja.csv,0.48,0.61,0.36,0.29,0.75,0.3,0.22,0.97,0.38,0.17
itext.csv,0.85,0.1,0.64,0.74,0.45,0.37,0.73,0.32,0.08,0.2
lockss.csv,0.14,0.0,0.09,0.05,0.29,0.07,0.08,0.09,0.0,0.03
modplug.csv,0.77,0.63,0.59,0.71,0.77,0.67,0.57,0.92,0.21,0.17
reactos-mirror.csv,0.26,0.34,0.8,0.21,0.38,0.52,1.0,0.11,0.38,0.6
yafdotnet.csv,0.41,0.54,0.48,0.15,0.92,0.26,0.06,0.24,0.12,0.3
