,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.09,0.28,0.41,0.16,0.0,0.2,0.76,0.48,0.57,0.07
critterding.csv,0.55,0.66,0.63,0.35,0.26,0.56,0.55,0.36,0.56,0.66
enlightenment.csv,0.66,0.0,0.0,0.65,0.0,0.17,0.0,0.61,0.29,0.0
exordium.csv,0.04,0.57,0.81,0.06,0.59,0.69,0.0,0.65,0.45,0.37
google-caja.csv,0.6,0.63,0.63,0.53,0.61,0.82,0.75,0.13,0.7,0.71
itext.csv,0.45,0.4,0.72,0.57,0.69,0.65,0.63,0.55,0.6,0.75
lockss.csv,0.29,0.18,0.58,0.27,0.65,0.59,0.52,0.44,0.19,0.49
modplug.csv,0.54,0.63,0.75,0.58,0.52,0.6,0.76,0.3,0.77,0.71
reactos-mirror.csv,0.62,0.68,0.54,0.57,0.56,0.66,0.0,0.3,0.7,0.74
yafdotnet.csv,0.45,0.54,0.53,0.3,0.3,0.67,0.3,0.7,0.54,0.75
