,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.93,0.77,0.67,0.87,1.0,0.85,0.3,0.85,0.73,0.94
critterding.csv,0.67,0.46,0.7,0.82,0.96,0.68,0.78,0.9,0.59,0.66
enlightenment.csv,0.5,1.0,1.0,0.49,1.0,0.96,1.0,0.5,0.93,1.0
exordium.csv,0.97,0.75,0.34,0.95,0.72,0.41,1.0,0.48,0.6,0.68
google-caja.csv,0.61,0.66,0.51,0.58,0.75,0.33,0.35,0.97,0.46,0.36
itext.csv,0.86,0.65,0.65,0.76,0.52,0.51,0.74,0.58,0.46,0.33
lockss.csv,0.76,0.85,0.48,0.77,0.47,0.47,0.53,0.62,0.84,0.56
modplug.csv,0.8,0.68,0.59,0.74,0.8,0.71,0.57,0.92,0.32,0.36
reactos-mirror.csv,0.48,0.47,0.81,0.51,0.59,0.58,1.0,0.74,0.46,0.6
yafdotnet.csv,0.7,0.69,0.68,0.75,0.92,0.43,0.74,0.39,0.52,0.38
