,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.05,0.0,0.14,0.13,0.0
n2cms.csv,0.0,0.22,0.39,0.26,0.56
nassp.csv,0.09,0.08,0.17,0.0,0.12
nug.csv,0.47,0.48,0.06,0.74,0.56
oorexx.csv,0.46,0.47,0.64,0.37,0.08
