,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.35,1.0,0.24,0.43,0.36
n2cms.csv,0.98,0.26,0.41,0.5,0.53
nassp.csv,0.28,0.42,0.3,0.96,0.3
nug.csv,0.52,0.21,0.91,0.3,0.65
oorexx.csv,0.5,0.42,0.33,0.51,0.96
