,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.7,0.47,0.59,0.22,0.44,0.52,0.99,0.63,0.65,0.58,0.19,0.33,0.5,0.34,0.49,0.42,0.47,0.62
ardour.csv,0.57,0.57,0.59,0.37,0.26,0.48,0.35,0.99,0.49,0.49,0.39,0.39,0.66,0.35,0.62,0.5,0.61,0.46
bacnet.csv,0.69,0.54,0.77,0.97,0.4,0.43,0.52,0.6,0.58,0.64,0.25,0.37,0.52,0.23,0.58,0.35,0.49,0.38
cortex-vfx.csv,0.64,0.49,0.43,0.31,0.31,0.35,0.25,0.3,0.45,0.39,0.31,0.27,0.48,0.92,0.61,0.39,0.45,0.42
enzo.csv,0.74,0.58,0.83,0.5,0.48,0.54,0.69,0.69,0.68,0.98,0.31,0.33,0.59,0.32,0.54,0.5,0.59,0.66
growl-for-windows.csv,0.69,0.6,0.8,0.31,0.47,0.68,0.45,0.68,0.59,0.68,0.39,0.34,0.63,0.4,0.99,0.41,0.59,0.69
heekscad.csv,0.99,0.7,0.76,0.05,0.52,0.61,0.59,0.69,0.64,0.04,0.07,0.37,0.61,0.4,0.57,0.44,0.0,0.6
minig.csv,0.71,0.58,0.78,0.51,0.98,0.56,0.54,0.72,0.54,0.71,0.25,0.33,0.64,0.35,0.76,0.43,0.6,0.77
multitude.csv,0.72,0.61,0.72,0.39,0.41,0.55,0.58,0.72,0.98,0.62,0.29,0.38,0.68,0.39,0.49,0.48,0.53,0.42
natpad.csv,0.63,0.56,0.63,0.28,0.57,0.63,0.46,0.64,0.48,0.72,0.36,0.35,0.6,0.35,0.27,0.6,0.98,0.56
open-ms.csv,0.46,0.37,0.55,0.27,0.47,0.46,0.27,0.43,0.34,0.52,0.18,0.97,0.45,0.35,0.67,0.22,0.32,0.78
planeshift.csv,0.75,0.6,0.99,0.48,0.49,0.58,0.58,0.71,0.66,0.83,0.37,0.32,0.53,0.36,0.53,0.48,0.58,0.83
rocrail.csv,0.6,0.54,0.51,0.12,0.33,0.42,0.22,0.61,0.28,0.35,0.3,0.36,0.46,0.25,0.27,0.98,0.46,0.16
salasaga.csv,0.69,0.56,0.81,0.48,0.47,0.56,0.67,0.63,0.58,0.76,0.98,0.3,0.59,0.39,0.8,0.32,0.48,0.8
xcsoar.csv,0.68,0.92,0.72,0.41,0.55,0.55,0.46,0.72,0.53,0.65,0.4,0.38,0.64,0.43,0.38,0.53,0.67,0.72
xemeiah.csv,0.7,0.67,0.68,0.47,0.36,0.97,0.35,0.69,0.48,0.55,0.38,0.4,0.53,0.33,0.38,0.52,0.59,0.49
xmoto.csv,0.67,0.61,0.63,0.47,0.36,0.61,0.39,0.66,0.56,0.68,0.35,0.37,0.97,0.38,0.51,0.48,0.49,0.66
zxing.csv,0.64,0.6,0.74,0.36,0.41,0.59,0.56,0.69,0.55,0.74,0.3,0.3,0.56,0.4,0.34,0.45,0.62,0.98
