,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.65,0.54,0.48,0.16,0.65,0.57,0.97,0.64,0.66,0.43,0.21,0.53,0.5,0.65,0.42,0.77,0.4,0.5
ardour.csv,0.47,0.46,0.45,0.29,0.2,0.37,0.26,0.99,0.35,0.34,0.71,0.43,0.64,0.4,0.53,0.73,0.72,0.3
bacnet.csv,0.62,0.61,0.74,0.95,0.41,0.46,0.55,0.57,0.55,0.53,0.64,0.66,0.61,0.34,0.53,0.86,0.6,0.29
cortex-vfx.csv,0.51,0.38,0.29,0.29,0.24,0.3,0.16,0.19,0.35,0.25,0.39,0.31,0.44,0.88,0.5,0.45,0.37,0.27
enzo.csv,0.78,0.71,0.88,0.74,0.7,0.63,0.87,0.8,0.78,0.99,0.75,0.69,0.69,0.7,0.5,0.95,0.77,0.59
growl-for-windows.csv,0.7,0.59,0.75,0.26,0.52,0.73,0.39,0.67,0.58,0.62,0.54,0.69,0.81,0.47,0.97,0.91,0.7,0.59
heekscad.csv,0.99,0.82,0.69,0.03,0.65,0.63,0.55,0.74,0.62,0.02,0.04,0.7,0.67,0.66,0.5,0.91,0.0,0.48
minig.csv,0.77,0.54,0.76,1.0,0.96,0.64,0.55,0.84,0.51,0.58,0.79,0.57,0.69,0.58,0.75,0.91,0.91,0.7
multitude.csv,0.71,0.73,0.62,0.39,0.5,0.55,0.55,0.8,0.97,0.46,0.75,0.54,0.69,0.7,0.39,0.95,0.63,0.29
natpad.csv,0.56,0.55,0.5,0.29,0.63,0.69,0.34,0.65,0.35,0.68,0.75,0.51,0.56,0.44,0.17,0.64,0.98,0.39
open-ms.csv,0.35,0.3,0.44,0.26,0.65,0.48,0.16,0.3,0.28,0.41,0.14,0.93,0.44,0.39,0.58,0.32,0.3,0.79
planeshift.csv,0.7,0.8,0.99,0.68,0.59,0.61,0.68,0.91,0.71,0.76,0.79,0.72,0.64,0.73,0.44,0.95,0.91,0.89
rocrail.csv,0.45,0.38,0.35,0.08,0.22,0.28,0.13,0.53,0.17,0.22,0.36,0.35,0.31,0.26,0.17,0.95,0.33,0.09
salasaga.csv,0.82,0.84,0.87,0.89,0.72,0.76,0.87,0.76,0.75,0.75,0.96,0.8,0.89,0.83,0.97,0.86,0.72,0.86
xcsoar.csv,0.58,0.93,0.62,0.39,0.46,0.48,0.39,0.76,0.42,0.49,0.57,0.53,0.61,0.62,0.28,0.91,0.6,0.62
xemeiah.csv,0.62,0.7,0.55,0.45,0.3,0.96,0.24,0.64,0.32,0.43,0.79,0.51,0.42,0.34,0.25,0.77,0.63,0.34
xmoto.csv,0.53,0.59,0.48,0.5,0.3,0.52,0.29,0.64,0.46,0.52,0.57,0.47,0.94,0.48,0.42,0.73,0.65,0.55
zxing.csv,0.53,0.66,0.65,0.32,0.41,0.54,0.53,0.76,0.45,0.7,0.46,0.43,0.56,0.7,0.22,0.77,0.58,0.96
