,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.57,0.23,0.56,0.4,0.7,0.3,0.28,0.34,0.44,0.66,0.65,0.2
gamestone.csv,0.04,0.13,0.13,0.39,0.24,0.0,0.01,0.24,0.2,0.15,0.1,0.1
gbif-providertoolkit.csv,0.68,0.46,0.38,0.58,0.15,0.17,0.62,0.27,0.41,0.55,0.38,0.6
heekscad.csv,0.3,0.19,0.23,0.42,0.51,0.39,0.58,0.42,0.48,0.6,0.67,0.6
igarden.csv,0.11,0.1,0.11,0.32,0.21,0.22,0.07,0.09,0.33,0.05,0.44,0.1
levent.csv,0.57,0.21,0.25,0.14,0.69,0.39,0.66,0.18,0.0,0.22,0.17,0.4
lportal.csv,0.19,0.04,0.17,0.01,0.0,0.09,0.0,0.32,0.18,0.01,0.08,0.0
openmsx.csv,0.68,0.87,0.46,0.82,0.34,0.3,0.34,0.47,0.0,0.34,0.21,0.6
owlapi.csv,0.72,0.42,0.34,0.21,0.73,0.57,0.93,0.24,0.17,0.78,0.4,0.6
pnotepad.csv,0.13,0.58,0.69,0.92,0.84,0.57,0.46,0.82,0.98,0.72,1.0,0.0
quark.csv,0.06,0.02,0.04,0.0,0.13,0.04,0.03,0.1,0.1,0.06,0.25,0.1
xcsoar.csv,0.19,0.13,0.23,0.49,0.28,0.22,0.22,0.27,0.43,0.38,1.0,0.0
