,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.61,0.43,0.84,0.99,0.92,0.85,0.74,0.66,0.62,0.85,0.94,0.74,0.75
freewrl.csv,0.63,0.84,0.88,0.88,0.81,0.42,0.68,0.66,0.74,0.87,0.35,0.78,0.88
fulguro.csv,0.79,0.95,1.0,0.49,0.84,0.66,0.99,0.73,0.82,0.55,0.98,0.42,1.0
google-web-toolkit.csv,0.54,0.92,0.91,0.7,0.59,0.56,0.53,0.66,0.76,0.79,0.78,0.59,0.63
jcache.csv,0.63,0.95,0.75,0.51,0.94,0.85,0.71,0.85,0.56,0.83,0.21,1.02,0.73
jstock.csv,0.62,0.89,0.98,0.85,0.54,0.66,0.7,0.61,0.22,0.78,0.27,0.65,0.77
mimosa.csv,0.8,1.0,0.85,0.3,0.93,0.78,0.85,0.9,0.74,0.51,0.38,0.95,0.77
miranda.csv,0.48,0.67,0.97,0.92,1.0,1.0,0.92,0.76,1.0,0.83,0.6,0.74,0.48
ns-3-dev-def-routing.csv,0.56,0.93,0.89,0.78,0.65,0.93,0.72,0.51,0.77,0.7,0.65,1.0,0.71
ossbuild.csv,0.38,0.82,0.34,0.59,0.61,0.64,0.73,0.54,0.77,0.85,0.59,0.95,0.59
qtractor.csv,0.33,0.79,1.0,0.28,0.71,0.96,0.69,0.5,0.56,0.82,0.49,0.93,0.63
quarkplayer.csv,0.87,0.88,0.76,0.71,0.42,1.0,0.82,0.75,1.01,0.62,1.02,0.66,0.87
synergyspace.csv,0.72,0.87,0.67,0.37,0.68,0.75,0.73,0.75,0.76,0.37,0.98,0.82,0.89
