,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.59,0.4,0.56,0.58,0.69,0.66,0.01,0.8,0.5,0.66,0.76,0.54,0.53,0.72,0.4,0.69,0.61,0.5,0.69,0.63
doomlegacy.csv,0.61,0.59,0.57,0.43,0.68,0.64,0.67,0.9,0.56,0.73,0.73,0.44,0.55,0.75,0.46,0.0,0.49,0.49,0.66,0.87
elmo.csv,0.97,0.2,0.95,0.96,0.87,0.92,0.9,0.83,0.83,0.93,0.83,0.89,0.92,0.86,0.8,0.93,0.86,0.78,0.87,0.73
enzo.csv,0.72,0.55,0.75,0.85,0.62,0.75,0.78,0.7,0.54,0.71,0.78,0.5,0.58,0.88,0.12,0.71,0.68,0.71,0.71,0.77
gpac.csv,0.56,0.9,0.56,0.66,0.65,0.47,0.61,0.05,0.6,0.67,0.73,0.58,0.6,0.81,0.65,0.7,0.58,0.52,0.66,0.74
img-browse-sort.csv,0.53,0.65,0.73,0.65,0.59,0.77,0.57,0.67,0.63,0.64,0.63,0.57,0.58,0.15,0.87,0.89,0.66,0.93,0.67,0.59
ktc.csv,0.03,0.65,0.6,0.76,0.55,0.75,0.76,0.72,0.72,0.87,0.81,0.48,0.65,0.62,0.77,0.64,0.46,0.77,0.65,0.8
neoengine.csv,0.65,0.99,0.03,0.78,0.55,0.7,0.68,0.64,0.7,0.62,0.64,0.62,0.69,0.7,0.43,0.92,0.49,0.39,0.58,0.62
nicepress.csv,0.53,0.8,0.5,0.9,0.53,0.03,0.68,0.72,0.56,0.94,0.59,0.44,0.67,0.77,0.52,0.7,0.82,0.65,0.6,0.73
open-ms.csv,0.71,0.74,0.79,0.96,0.71,0.86,0.91,0.84,0.75,0.67,0.77,0.77,0.73,0.9,0.91,0.71,0.86,0.96,0.11,0.84
pcsx2.csv,0.43,0.99,0.53,0.44,0.56,0.53,0.62,0.88,0.97,0.66,0.56,0.49,0.04,0.56,0.46,0.56,0.98,0.55,0.63,0.58
pi-qmc.csv,0.59,0.66,0.6,0.64,0.56,0.8,0.59,0.73,0.63,0.68,0.65,0.52,0.68,0.55,0.62,0.83,0.51,0.0,0.69,0.69
rosegarden.csv,0.42,0.72,0.61,0.8,0.03,0.57,0.61,0.65,0.64,0.65,0.61,0.49,0.57,0.87,0.74,0.6,0.53,0.51,0.58,0.79
salasaga.csv,0.88,0.95,0.88,1.02,0.88,0.88,0.91,0.73,0.82,0.75,0.9,1.01,0.89,1.01,0.91,0.93,0.07,0.98,0.88,0.84
sigil.csv,0.7,0.65,0.62,0.55,0.76,0.62,0.7,0.73,0.69,0.6,0.67,0.02,0.72,0.58,0.8,0.97,0.62,0.6,0.69,0.78
skia.csv,0.63,0.9,0.72,0.71,0.73,0.7,0.74,0.73,0.64,0.86,0.72,0.86,0.64,0.76,0.73,0.8,0.68,0.67,0.64,0.09
smarttag.csv,0.56,0.81,0.52,0.68,0.8,0.76,0.79,0.79,0.73,0.0,0.82,0.68,0.63,0.58,0.87,0.82,0.7,0.59,0.91,0.78
sylpheed-claws.csv,0.48,0.71,0.52,0.56,0.55,0.46,0.62,0.59,0.03,0.42,0.55,0.69,0.57,0.67,0.63,0.74,0.59,0.34,0.58,0.62
xemeiah.csv,0.4,0.65,0.71,0.69,0.41,0.59,0.65,0.74,0.61,0.73,0.03,0.67,0.53,0.8,0.47,0.63,0.39,0.55,0.58,0.61
zscreen.csv,0.56,0.66,0.5,0.02,0.6,0.65,0.83,0.75,0.53,0.91,0.65,0.51,0.49,0.43,0.87,0.68,1.0,0.58,0.63,0.84
