,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.53,0.15,0.52,0.74,0.31,0.42,0.99,0.56,0.62,0.32,0.47,0.76,0.76,0.26,0.93,0.84,0.2,0.52,0.24,0.38
doomlegacy.csv,0.49,0.1,0.48,0.85,0.33,0.41,0.6,0.55,0.59,0.26,0.5,0.74,0.75,0.28,0.89,1.0,0.24,0.41,0.23,0.31
elmo.csv,0.27,1.0,0.5,0.5,0.24,0.5,0.72,0.71,0.56,0.33,0.57,0.67,0.65,0.29,1.0,0.75,0.24,0.5,0.24,0.41
enzo.csv,0.44,0.12,0.41,0.59,0.34,0.33,0.58,0.58,0.59,0.27,0.45,0.73,0.73,0.25,0.97,0.77,0.19,0.33,0.23,0.36
gpac.csv,0.57,0.03,0.49,0.66,0.39,0.52,0.63,0.96,0.6,0.29,0.44,0.69,0.74,0.21,0.89,0.79,0.21,0.39,0.26,0.32
img-browse-sort.csv,0.77,0.11,0.71,0.81,0.58,0.43,0.68,0.57,0.66,0.35,0.78,0.85,0.87,1.0,1.0,1.0,0.18,0.14,0.33,0.56
ktc.csv,1.0,0.11,0.63,0.85,0.7,0.64,0.75,0.55,0.71,0.29,0.72,0.93,0.81,0.33,0.86,0.86,0.31,0.83,0.34,0.38
neoengine.csv,0.46,0.07,0.98,0.61,0.38,0.35,0.67,0.59,0.53,0.4,0.51,0.64,0.68,0.27,0.92,0.72,0.24,0.54,0.26,0.39
nicepress.csv,0.65,0.17,0.6,0.62,0.46,1.0,0.68,0.57,0.59,0.17,0.65,0.84,0.77,0.5,0.96,0.8,0.15,0.5,0.28,0.41
open-ms.csv,0.51,0.08,0.33,0.51,0.51,0.56,0.49,0.69,0.46,0.29,0.47,0.8,0.83,0.14,0.71,0.76,0.44,0.33,0.99,0.33
pcsx2.csv,0.6,0.06,0.5,0.79,0.37,0.45,0.63,0.55,0.47,0.3,0.56,0.72,0.99,0.33,0.91,0.92,0.15,0.41,0.24,0.41
pi-qmc.csv,0.58,0.09,0.45,0.68,0.59,0.36,0.69,0.6,0.63,0.36,0.62,0.93,0.7,0.35,0.84,0.79,0.27,1.0,0.27,0.38
rosegarden.csv,0.81,0.07,0.54,0.59,0.98,0.53,0.75,0.67,0.67,0.3,0.58,0.78,0.84,0.2,0.85,0.84,0.33,0.73,0.31,0.29
salasaga.csv,0.38,0.06,0.34,0.57,0.25,0.3,0.54,0.53,0.47,0.25,0.4,0.47,0.61,0.22,0.78,0.76,1.0,0.29,0.19,0.31
sigil.csv,0.49,0.11,0.58,0.91,0.38,0.5,0.61,0.7,0.67,0.33,0.49,1.0,0.88,0.43,0.85,0.5,0.24,0.69,0.3,0.33
skia.csv,0.55,0.04,0.52,0.71,0.33,0.61,0.57,0.53,0.66,0.33,0.79,0.62,0.72,0.25,0.91,0.71,0.53,0.4,0.28,1.0
smarttag.csv,0.65,0.11,0.6,0.76,0.35,0.5,0.63,0.59,0.62,1.0,0.5,0.85,0.84,0.43,0.88,0.83,0.23,0.9,0.13,0.71
sylpheed-claws.csv,0.61,0.07,0.52,0.77,0.45,0.5,0.63,0.62,0.98,0.45,0.57,0.69,0.74,0.33,0.89,0.74,0.25,0.68,0.28,0.39
xemeiah.csv,0.65,0.11,0.39,0.79,0.51,0.46,0.64,0.52,0.55,0.26,0.98,0.7,0.77,0.21,0.92,0.81,0.3,0.67,0.28,0.39
zscreen.csv,0.5,0.08,0.54,1.0,0.36,0.41,0.57,0.56,0.65,0.26,0.52,0.7,0.77,0.42,0.79,0.81,0.15,0.41,0.24,0.28
