,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.3,0.34,0.28,0.3,0.36,0.3,0.01,0.79,0.41,0.33,0.29,0.22,0.4,0.61,0.2,0.19,0.58,0.2,0.32,0.52
doomlegacy.csv,0.59,0.55,0.53,0.19,0.65,0.61,0.6,0.89,0.52,0.59,0.71,0.41,0.44,0.74,0.32,0.0,0.45,0.41,0.57,0.83
elmo.csv,0.06,0.0,0.03,0.07,0.19,0.04,0.05,0.09,0.13,0.05,0.12,0.08,0.09,0.13,0.0,0.08,0.08,0.09,0.11,0.22
enzo.csv,0.7,0.55,0.73,0.78,0.57,0.64,0.75,0.66,0.45,0.62,0.71,0.32,0.51,0.87,0.12,0.65,0.66,0.7,0.68,0.76
gpac.csv,0.26,0.42,0.35,0.48,0.26,0.3,0.42,0.04,0.3,0.51,0.51,0.32,0.33,0.61,0.2,0.31,0.54,0.45,0.3,0.41
img-browse-sort.csv,0.09,0.25,0.06,0.15,0.12,0.17,0.31,0.51,0.19,0.28,0.09,0.11,0.13,0.0,0.0,0.0,0.39,0.34,0.18,0.17
ktc.csv,0.0,0.24,0.15,0.07,0.08,0.07,0.1,0.36,0.11,0.13,0.06,0.05,0.16,0.32,0.16,0.19,0.24,0.02,0.18,0.17
neoengine.csv,0.58,0.99,0.01,0.7,0.4,0.52,0.23,0.55,0.67,0.23,0.55,0.49,0.56,0.58,0.24,0.88,0.43,0.23,0.49,0.48
nicepress.csv,0.18,0.07,0.22,0.11,0.25,0.0,0.21,0.32,0.36,0.13,0.21,0.16,0.2,0.08,0.08,0.27,0.8,0.14,0.33,0.22
open-ms.csv,0.21,0.72,0.37,0.81,0.12,0.06,0.83,0.09,0.41,0.51,0.26,0.08,0.11,0.47,0.72,0.38,0.03,0.04,0.0,0.17
pcsx2.csv,0.31,0.97,0.36,0.3,0.48,0.43,0.55,0.87,0.97,0.59,0.42,0.41,0.02,0.47,0.24,0.12,0.97,0.3,0.51,0.43
pi-qmc.csv,0.22,0.63,0.42,0.41,0.13,0.2,0.28,0.72,0.22,0.23,0.21,0.05,0.63,0.39,0.56,0.15,0.28,0.0,0.24,0.33
rosegarden.csv,0.09,0.6,0.23,0.67,0.01,0.22,0.18,0.23,0.17,0.41,0.28,0.22,0.17,0.21,0.2,0.27,0.18,0.07,0.28,0.37
salasaga.csv,0.86,0.93,0.82,1.0,0.83,0.83,0.89,0.57,0.79,0.62,0.83,0.92,0.83,1.0,0.88,0.92,0.0,0.98,0.85,0.78
sigil.csv,0.24,0.25,0.17,0.07,0.17,0.22,0.29,0.15,0.15,0.56,0.49,0.0,0.08,0.21,0.16,0.12,0.25,0.07,0.2,0.26
skia.csv,0.23,0.4,0.17,0.22,0.25,0.1,0.33,0.45,0.19,0.1,0.06,0.14,0.33,0.32,0.12,0.35,0.05,0.21,0.28,0.0
smarttag.csv,0.16,0.12,0.22,0.19,0.16,0.13,0.17,0.19,0.17,0.0,0.17,0.08,0.14,0.21,0.08,0.12,0.19,0.02,0.17,0.04
sylpheed-claws.csv,0.25,0.37,0.33,0.26,0.24,0.39,0.39,0.47,0.02,0.31,0.42,0.22,0.42,0.26,0.2,0.46,0.25,0.12,0.36,0.54
xemeiah.csv,0.26,0.24,0.61,0.15,0.26,0.3,0.3,0.49,0.45,0.59,0.01,0.22,0.35,0.39,0.2,0.35,0.33,0.09,0.35,0.43
zscreen.csv,0.45,0.52,0.31,0.0,0.56,0.64,0.81,0.72,0.27,0.9,0.6,0.46,0.43,0.37,0.84,0.27,1.0,0.29,0.53,0.72
