,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.53,0.77,0.55,0.53,0.45,0.46,0.99,0.52,0.68,0.46,0.34,0.54,0.64,0.55,0.68,0.38,0.69,0.59,0.43,0.61
doomlegacy.csv,0.69,0.69,0.7,0.64,0.64,0.67,0.6,0.37,0.71,0.53,0.6,0.77,0.64,0.58,0.67,1.0,0.75,0.7,0.6,0.44
elmo.csv,0.04,0.83,0.06,0.05,0.19,0.1,0.12,0.21,0.21,0.09,0.21,0.15,0.1,0.18,0.24,0.1,0.17,0.27,0.16,0.34
enzo.csv,0.61,0.8,0.58,0.47,0.65,0.54,0.55,0.61,0.67,0.56,0.53,0.63,0.66,0.4,0.97,0.59,0.66,0.63,0.61,0.57
gpac.csv,0.53,0.23,0.58,0.54,0.45,0.65,0.56,0.98,0.5,0.55,0.48,0.55,0.53,0.44,0.42,0.42,0.69,0.69,0.46,0.42
img-browse-sort.csv,0.53,0.44,0.31,0.42,0.48,0.29,0.55,0.55,0.45,0.47,0.42,0.49,0.49,0.88,0.16,0.13,0.48,0.17,0.41,0.48
ktc.csv,0.98,0.44,0.47,0.28,0.51,0.29,0.28,0.41,0.34,0.17,0.23,0.57,0.42,0.49,0.29,0.44,0.64,0.27,0.42,0.26
neoengine.csv,0.63,0.05,0.97,0.53,0.62,0.52,0.4,0.62,0.62,0.47,0.61,0.59,0.56,0.57,0.67,0.37,0.71,0.7,0.64,0.59
nicepress.csv,0.54,0.24,0.58,0.13,0.56,0.98,0.39,0.4,0.57,0.09,0.49,0.64,0.4,0.27,0.54,0.39,0.5,0.41,0.54,0.34
open-ms.csv,0.36,0.58,0.34,0.38,0.35,0.17,0.41,0.19,0.41,0.55,0.31,0.27,0.32,0.26,0.39,0.43,0.17,0.06,0.91,0.2
pcsx2.csv,0.7,0.13,0.62,0.68,0.67,0.66,0.64,0.41,0.13,0.62,0.62,0.7,0.97,0.65,0.64,0.5,0.13,0.57,0.6,0.6
pi-qmc.csv,0.49,0.65,0.58,0.52,0.51,0.26,0.51,0.63,0.45,0.4,0.43,0.53,0.63,0.62,0.65,0.22,0.59,1.0,0.39,0.43
rosegarden.csv,0.63,0.55,0.48,0.5,0.97,0.51,0.46,0.43,0.43,0.52,0.5,0.59,0.51,0.18,0.32,0.5,0.54,0.55,0.52,0.34
salasaga.csv,0.41,0.26,0.44,0.0,0.43,0.43,0.36,0.52,0.5,0.52,0.42,0.26,0.42,0.0,0.37,0.3,0.94,0.09,0.43,0.49
sigil.csv,0.38,0.44,0.45,0.51,0.3,0.46,0.4,0.33,0.38,0.68,0.53,0.98,0.33,0.5,0.26,0.05,0.47,0.46,0.38,0.3
skia.csv,0.45,0.23,0.34,0.37,0.35,0.36,0.38,0.45,0.44,0.17,0.33,0.18,0.48,0.35,0.32,0.32,0.37,0.4,0.47,0.93
smarttag.csv,0.51,0.24,0.57,0.39,0.25,0.29,0.27,0.27,0.33,1.0,0.22,0.38,0.44,0.5,0.17,0.23,0.36,0.46,0.12,0.26
sylpheed-claws.csv,0.62,0.43,0.61,0.53,0.54,0.72,0.54,0.61,0.97,0.71,0.63,0.39,0.6,0.42,0.44,0.44,0.5,0.71,0.57,0.63
xemeiah.csv,0.71,0.44,0.57,0.38,0.69,0.53,0.46,0.46,0.58,0.53,0.97,0.41,0.62,0.34,0.61,0.51,0.76,0.5,0.56,0.57
zscreen.csv,0.65,0.57,0.62,0.98,0.68,0.67,0.5,0.58,0.57,0.34,0.64,0.71,0.71,0.74,0.44,0.42,0.0,0.53,0.61,0.47
