,toped.csv,irrlicht.csv,qse.csv,truevision.csv,qedo.csv,genoviz.csv
genoviz.csv,0.0,0.0,0.0,0.0,0.0,0.0
irrlicht.csv,1.0,0.0,0.72,0.83,0.49,0.4
qedo.csv,0.33,0.06,0.21,0.07,0.0,0.0
qse.csv,0.44,0.37,0.02,0.31,0.66,0.62
toped.csv,0.0,0.98,0.96,0.55,0.26,0.44
truevision.csv,0.78,0.43,0.45,0.0,0.74,0.93
