,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.48,0.33,0.27,0.32,0.7
n2cms.csv,0.61,0.29,0.28,0.24,0.63
nassp.csv,0.4,0.25,0.31,0.43,0.78
nug.csv,0.41,0.19,0.62,0.23,0.61
oorexx.csv,0.15,0.29,0.27,0.31,0.69
