,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.28,0.3,0.83,0.37,0.28
n2cms.csv,0.28,0.37,0.72,0.76,0.76
nassp.csv,0.28,0.15,0.31,0.28,0.08
nug.csv,0.92,0.28,0.28,0.59,0.8
oorexx.csv,0.15,0.42,0.53,0.52,0.4
