,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.3,0.54,0.98,0.11,0.55,0.77,0.51,0.03,0.79,0.72,0.18,0.77,0.94,0.71,0.46
glelite.csv,0.3,0.55,0.73,0.11,0.5,0.77,0.64,0.03,0.73,0.58,0.15,0.83,1.0,0.76,0.56
hannosset.csv,0.13,0.06,0.29,0.0,0.12,0.0,0.06,0.0,0.14,0.08,0.91,0.12,0.11,0.21,0.1
ipfilter.csv,0.25,0.43,0.56,0.08,0.49,0.74,0.51,0.04,0.71,0.57,0.16,0.99,0.87,0.7,0.56
moving-pictures.csv,0.36,0.46,0.46,0.15,0.44,0.66,0.92,0.0,0.42,0.46,0.14,0.53,0.71,0.69,0.29
pclasses.csv,1.0,0.36,0.0,0.0,0.38,0.13,0.24,0.0,0.2,0.49,0.05,0.0,0.05,0.13,0.29
pfaedit.csv,0.27,0.39,0.13,0.2,0.52,0.98,0.49,0.0,0.55,0.22,0.19,0.35,0.26,0.62,0.32
qcad2.csv,0.14,0.36,0.48,0.1,1.0,0.32,0.29,0.0,0.5,0.21,0.06,0.42,0.68,0.39,0.07
rockbox.csv,0.25,0.52,0.54,0.09,0.4,0.73,0.58,0.06,0.65,0.3,0.18,0.59,0.43,0.69,1.0
roller.csv,0.21,0.43,0.59,0.12,0.56,0.67,0.48,0.05,0.99,0.42,0.25,0.66,0.55,0.6,0.49
theresa.csv,0.0,0.07,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0
tzod.csv,0.45,0.98,0.52,0.3,0.61,0.78,0.41,0.05,0.54,0.43,0.14,0.54,0.66,0.68,0.46
xinity.csv,0.4,0.45,0.44,0.17,0.45,0.74,0.31,0.0,0.48,0.19,0.32,0.27,0.34,0.99,0.17
zabbix.csv,0.26,0.49,0.77,0.12,0.56,0.75,0.64,0.04,0.76,0.99,0.16,0.77,0.84,0.75,0.42
