,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.18,0.43,0.98,0.06,0.4,0.62,0.44,0.02,0.68,0.71,0.1,0.71,0.98,0.61,0.34
glelite.csv,0.17,0.38,0.58,0.06,0.33,0.62,0.47,0.02,0.59,0.41,0.08,0.71,1.0,0.61,0.39
hannosset.csv,0.25,0.17,0.57,0.0,0.21,0.0,0.25,0.0,0.46,0.43,1.0,0.75,1.0,0.71,1.0
ipfilter.csv,0.15,0.35,0.52,0.04,0.33,0.62,0.43,0.02,0.64,0.44,0.1,1.0,0.98,0.64,0.42
moving-pictures.csv,0.22,0.34,0.46,0.08,0.38,0.61,1.0,0.0,0.52,0.35,0.08,0.67,0.97,0.62,0.23
pclasses.csv,1.0,0.36,0.0,0.0,0.38,0.67,0.67,0.0,0.53,0.36,0.03,0.0,1.0,0.5,0.22
pfaedit.csv,0.5,0.47,0.75,0.12,0.61,0.98,0.65,0.0,0.84,0.89,0.1,0.69,1.0,0.64,0.67
qcad2.csv,0.33,0.44,0.57,0.06,1.0,0.57,0.35,0.0,0.69,0.62,0.04,0.7,0.99,0.69,0.12
rockbox.csv,0.17,0.4,0.5,0.05,0.31,0.67,0.48,0.03,0.63,0.39,0.1,0.69,1.0,0.63,1.0
roller.csv,0.14,0.37,0.83,0.06,0.4,0.73,0.44,0.03,0.99,0.36,0.14,0.75,0.97,0.62,0.5
theresa.csv,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
tzod.csv,0.45,1.0,0.88,0.18,0.5,0.73,0.42,0.03,0.68,0.69,0.08,0.71,1.0,0.6,0.5
xinity.csv,0.29,0.5,0.72,0.1,0.34,0.68,0.41,0.0,0.76,0.44,0.23,0.62,1.0,0.98,0.5
zabbix.csv,0.16,0.35,0.7,0.06,0.41,0.61,0.54,0.02,0.63,1.0,0.08,0.72,1.0,0.61,0.32
