,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.91,0.7,0.98,1.0,0.92,1.0,0.61,1.0,0.95,0.74,1.0,0.85,0.91,0.85,0.68
glelite.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.98,1.0,1.0,1.0
hannosset.csv,0.09,0.04,0.2,0.0,0.08,0.0,0.04,0.0,0.08,0.05,0.83,0.07,0.06,0.12,0.05
ipfilter.csv,0.82,0.56,0.61,0.67,0.92,0.93,0.64,1.0,0.79,0.83,0.5,0.98,0.79,0.78,0.84
moving-pictures.csv,0.91,0.7,0.46,1.0,0.52,0.72,0.86,0.0,0.35,0.65,0.67,0.43,0.57,0.78,0.37
pclasses.csv,1.0,0.37,0.0,0.0,0.38,0.07,0.14,0.0,0.12,0.77,0.17,0.0,0.03,0.07,0.42
pfaedit.csv,0.18,0.33,0.07,0.67,0.46,0.98,0.39,0.0,0.41,0.12,0.83,0.24,0.15,0.61,0.21
qcad2.csv,0.09,0.3,0.41,0.33,1.0,0.22,0.25,0.0,0.39,0.12,0.17,0.3,0.51,0.27,0.05
rockbox.csv,0.45,0.74,0.59,0.33,0.56,0.8,0.75,1.0,0.67,0.25,0.83,0.52,0.27,0.76,1.0
roller.csv,0.36,0.52,0.46,1.0,0.92,0.61,0.54,1.0,1.0,0.52,1.0,0.59,0.39,0.59,0.47
theresa.csv,0.0,0.04,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
tzod.csv,0.45,0.96,0.37,1.0,0.77,0.83,0.39,1.0,0.45,0.31,0.5,0.43,0.49,0.78,0.42
xinity.csv,0.64,0.41,0.32,0.67,0.65,0.81,0.25,0.0,0.35,0.12,0.5,0.17,0.21,1.0,0.11
zabbix.csv,0.82,0.81,0.85,1.0,0.9,0.98,0.79,1.0,0.95,0.98,1.0,0.83,0.73,0.98,0.63
