,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.5,0.64,0.98,0.17,0.66,0.24,0.5,0.21,0.69,0.75,0.59,0.46,0.0,0.44,0.48
glelite.csv,0.27,0.24,0.0,0.0,0.0,0.24,0.0,0.13,0.0,0.09,0.05,0.21,1.0,0.0,0.24
hannosset.csv,0.11,0.05,0.24,0.0,0.1,0.0,0.05,0.0,0.1,0.06,0.86,0.09,0.07,0.15,0.06
ipfilter.csv,0.26,0.52,0.44,0.31,0.3,0.37,0.47,0.56,0.63,0.6,0.52,0.98,0.0,0.6,0.63
moving-pictures.csv,0.71,0.5,0.39,0.72,0.53,0.56,0.88,0.0,0.38,0.46,0.54,0.44,0.0,0.53,0.35
pclasses.csv,1.0,0.4,0.0,0.0,0.42,0.09,0.17,0.0,0.14,0.31,0.19,0.0,0.04,0.09,0.24
pfaedit.csv,0.21,0.37,0.09,0.68,0.51,0.98,0.44,0.0,0.46,0.15,0.67,0.28,0.18,0.57,0.25
qcad2.csv,0.11,0.34,0.43,0.37,1.0,0.26,0.28,0.0,0.43,0.15,0.2,0.34,0.54,0.31,0.06
rockbox.csv,0.47,0.62,0.39,0.36,0.52,0.67,0.54,0.83,0.6,0.29,0.66,0.5,0.32,0.59,1.0
roller.csv,0.39,0.52,0.51,0.3,0.67,0.62,0.5,0.75,1.0,0.48,0.82,0.58,0.38,0.55,0.51
theresa.csv,0.0,0.05,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
tzod.csv,0.5,0.97,0.42,0.93,0.73,0.74,0.41,0.76,0.48,0.36,0.5,0.45,0.55,0.48,0.46
xinity.csv,0.65,0.45,0.36,0.66,0.57,0.67,0.29,0.0,0.4,0.15,0.55,0.2,0.25,0.99,0.13
zabbix.csv,0.42,0.43,0.74,0.36,0.68,0.13,0.66,0.36,0.54,0.98,0.24,0.52,0.77,0.0,0.43
