,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.83,0.6,0.04,0.96,0.7,0.94,0.81,0.95,0.67,0.33,0.78,0.86,1.0,0.86,0.84
glelite.csv,0.93,0.94,1.0,1.0,1.0,0.94,1.0,0.97,1.0,0.98,0.99,0.95,0.0,1.0,0.94
hannosset.csv,0.91,0.97,0.83,1.0,0.93,1.0,0.97,1.0,0.93,0.95,0.17,0.94,0.94,0.88,0.95
ipfilter.csv,0.95,0.73,0.88,0.96,0.92,0.89,0.85,0.8,0.68,0.74,0.64,0.02,1.02,0.73,0.71
moving-pictures.csv,0.63,0.83,0.93,0.66,0.64,0.77,0.14,1.14,0.81,0.87,0.77,0.77,1.09,0.8,0.96
pclasses.csv,0.0,0.73,1.0,1.0,0.7,0.93,0.86,1.0,0.89,0.94,0.99,1.0,0.97,0.93,1.08
pfaedit.csv,0.82,0.7,0.93,0.45,0.56,0.03,0.64,1.03,0.6,0.88,0.65,0.81,0.85,0.67,0.79
qcad2.csv,0.91,0.73,0.74,0.75,0.0,0.82,0.86,1.04,0.66,0.88,0.91,0.76,0.59,0.76,0.97
rockbox.csv,0.69,0.68,0.93,0.77,0.75,0.63,0.78,0.51,0.66,0.8,0.66,0.75,0.73,0.73,0.0
roller.csv,0.77,0.69,0.55,0.92,0.69,0.52,0.77,0.63,0.02,0.79,0.52,0.63,0.91,0.71,0.6
theresa.csv,1.0,0.96,1.0,0.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,1.0
tzod.csv,0.56,0.04,0.64,0.28,0.44,0.51,0.78,0.61,0.63,0.7,0.71,0.7,0.51,0.84,0.63
xinity.csv,0.47,0.64,0.7,0.51,0.71,0.63,0.82,1.04,0.67,0.88,0.52,0.87,0.79,0.04,0.9
zabbix.csv,0.88,0.87,0.54,0.9,0.66,0.97,0.65,0.9,0.81,0.02,0.94,0.81,0.27,1.0,0.89
