,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.39,0.56,0.47,0.68
jajuk.csv,0.78,0.76,0.59,0.68
vapor.csv,0.52,0.0,0.59,0.63
zorannt.csv,0.58,0.67,0.49,0.4
