,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,99.0,98.5,258.5,279.0,4037.0,99.0,195.5,972.5,197.0,472.5,198.0,699.5,387.0,98.5,81.5,82.5
arcallians.csv,99.0,193.0,193.0,184.5,1788.0,99.0,593.0,878.0,195.0,471.5,297.0,2158.0,388.0,98.5,98.5,358.0
arianne.csv,97.5,98.5,482.5,490.0,8722.5,99.0,494.0,870.5,98.5,936.0,297.0,4311.0,193.0,98.5,98.5,727.0
aztec.csv,99.0,96.5,78.5,391.5,719.0,99.0,494.0,385.0,95.5,655.5,297.0,1928.0,94.5,98.5,95.5,628.5
biopax.csv,99.0,98.5,482.5,490.0,10073.0,99.0,593.0,1067.0,197.0,936.0,297.0,4311.0,388.0,98.5,98.5,1001.5
bl-toolkit.csv,98.5,98.5,287.5,490.0,7581.5,99.0,593.0,382.0,197.0,936.0,297.0,2684.5,388.0,98.5,95.5,1001.5
gnupdate.csv,97.5,98.5,76.5,279.0,2431.5,99.0,296.5,485.0,197.0,188.0,99.0,142.5,193.0,98.5,95.5,358.0
les-indemodables.csv,99.0,98.5,482.5,285.0,4164.0,374.0,296.5,582.0,96.5,753.0,293.0,2552.5,291.5,98.5,98.5,455.5
ng4j.csv,95.5,96.5,89.5,279.0,996.5,99.0,708.0,284.5,197.0,188.0,99.0,2171.5,290.5,98.5,95.5,178.0
openxava.csv,99.0,98.5,182.0,91.5,3697.5,137.0,196.5,190.0,194.0,660.5,393.5,290.0,388.0,98.5,98.5,531.0
phonon-vlc-mplayer.csv,97.5,96.5,93.5,285.0,446.5,99.0,98.5,481.5,197.0,748.0,297.0,3839.0,193.0,98.5,98.5,178.0
qgis.csv,99.0,96.5,191.0,0.0,3114.0,99.0,615.5,484.5,96.5,0.0,0.0,1473.0,193.0,98.5,98.5,273.5
rsyslog.csv,99.0,98.5,193.0,279.0,8251.0,99.0,196.5,869.5,197.0,365.0,99.0,3669.5,291.5,98.5,95.5,437.5
vars-redux.csv,99.0,98.5,386.0,490.0,5792.5,99.0,98.5,190.0,197.0,379.0,192.5,4311.0,289.5,98.5,98.5,449.5
xapian.csv,98.5,196.0,385.0,481.0,4503.5,99.0,593.0,385.5,197.0,748.0,198.0,4311.0,291.5,95.5,98.5,828.5
xqilla.csv,99.0,98.5,86.5,10.5,4999.0,99.0,195.5,79.5,197.0,147.0,97.5,68.5,1509.0,13.5,95.5,812.0
