,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.86,1.0,0.38,1.0,1.0,0.75,0.4,1.0,0.66,0.56
ivatamasks.csv,0.38,0.98,0.12,1.0,0.71,0.79,0.39,0.18,0.76,0.31
orc.csv,0.04,1.0,1.0,0.88,0.57,0.82,0.39,0.2,0.71,0.57
plato.csv,0.11,0.98,0.08,0.65,0.6,1.0,0.4,0.18,0.73,0.21
rodin-b-sharp.csv,0.56,1.0,0.06,0.78,0.67,0.9,1.0,0.24,0.8,0.14
umber.csv,1.0,1.0,0.16,0.74,0.84,0.76,0.4,0.21,0.78,0.29
unicase.csv,0.17,0.99,0.13,0.71,0.76,0.8,0.46,0.23,0.99,0.28
uwom.csv,0.25,1.0,0.23,0.93,0.61,0.74,0.34,0.29,0.69,1.0
vienna-add-in.csv,0.43,0.99,0.09,0.67,0.99,0.83,0.42,0.19,0.73,0.19
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.84,0.36,0.17,0.72,0.23
