,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.73,0.34,0.34,0.08,0.18,0.33,0.22,0.94,0.28,0.09
ivatamasks.csv,0.53,0.63,0.2,0.99,0.62,0.49,0.41,0.28,0.57,0.4
orc.csv,0.05,0.04,0.97,0.13,0.51,0.84,0.31,0.25,0.41,0.04
plato.csv,0.17,0.85,0.14,0.74,0.64,1.0,0.55,0.29,0.81,0.32
rodin-b-sharp.csv,0.54,0.7,0.06,0.46,0.27,0.35,0.98,0.26,0.39,0.13
umber.csv,1.0,0.48,0.23,0.47,0.31,0.51,0.4,0.19,0.27,0.3
unicase.csv,0.23,0.93,0.22,0.73,0.48,0.67,0.61,0.36,0.99,0.42
uwom.csv,0.34,0.34,0.29,0.55,0.38,0.63,0.4,0.37,0.51,0.97
vienna-add-in.csv,0.59,0.96,0.16,0.78,0.99,0.75,0.54,0.3,0.72,0.31
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.86,0.53,0.29,0.84,0.37
