,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.68,0.24,0.36,0.05,0.12,0.24,0.19,0.91,0.21,0.06
ivatamasks.csv,0.77,0.47,0.59,0.98,0.54,0.38,0.46,0.55,0.48,0.57
orc.csv,0.06,0.02,0.95,0.09,0.41,0.0,0.3,0.36,0.33,0.02
plato.csv,0.26,0.0,0.37,0.09,0.31,1.0,0.58,0.56,0.41,0.51
rodin-b-sharp.csv,0.57,0.59,0.07,0.37,0.2,0.25,0.98,0.33,0.3,0.14
umber.csv,1.0,0.36,0.48,0.39,0.23,0.38,0.43,0.21,0.19,0.36
unicase.csv,0.37,0.76,0.63,0.61,0.39,0.45,0.72,0.7,0.99,0.68
uwom.csv,0.51,0.24,0.43,0.44,0.32,0.0,0.49,0.54,0.42,0.95
vienna-add-in.csv,0.83,0.79,0.33,0.09,1.0,0.51,0.64,0.59,0.56,0.38
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.39,0.0,0.05,0.0,0.21
