,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.93,0.74,0.61,0.67,0.48,0.88,0.97,0.44,0.5,0.5,0.46,0.8,0.0,0.66,0.69
atlc.csv,0.58,0.45,0.57,0.42,0.59,0.47,0.51,0.94,0.77,0.74,0.67,0.37,0.35,0.5,0.75
bwapi.csv,0.39,0.41,0.42,0.39,0.33,0.4,0.41,0.53,0.42,0.64,0.54,0.33,0.34,0.4,0.66
cubefs.csv,0.42,0.41,0.42,0.54,0.35,0.4,0.55,0.48,0.42,0.94,0.57,0.5,0.75,0.46,0.56
freewrl.csv,0.4,0.41,0.42,0.41,0.33,0.4,0.38,0.43,0.41,0.46,0.46,0.46,0.33,0.35,0.56
iaml.csv,0.8,0.48,0.83,0.0,0.58,0.45,0.53,0.92,0.91,0.93,0.48,0.75,0.74,0.44,0.55
jrdf.csv,0.87,0.51,0.88,0.91,0.65,0.41,0.45,0.95,0.83,0.0,0.88,0.0,0.57,0.57,0.67
kwave.csv,0.73,0.41,0.4,0.0,0.3,0.4,0.39,0.93,0.38,0.71,0.46,0.0,0.38,0.34,0.56
oscarmcmaster.csv,0.76,0.54,0.62,0.72,0.45,0.66,0.48,0.8,0.75,0.66,0.53,0.5,0.35,0.5,0.56
rtrt-on-gpu.csv,0.61,0.43,0.58,0.6,0.38,0.44,0.59,0.95,0.92,0.91,0.96,0.83,0.4,0.57,0.78
theresa.csv,0.53,0.6,0.47,0.5,0.52,0.35,0.57,0.64,0.64,0.66,0.41,0.4,0.67,0.45,0.42
thrust.csv,0.96,0.52,0.93,0.7,0.93,0.72,0.98,0.97,0.0,0.9,0.96,0.89,0.81,0.97,0.78
tktoolkit.csv,0.4,0.45,0.37,0.58,0.35,0.75,0.56,0.41,0.41,0.48,0.45,0.5,0.58,0.37,0.56
xstore.csv,0.73,0.43,0.5,0.0,0.73,0.37,0.49,0.54,0.67,0.63,0.4,0.67,0.68,0.46,0.56
yaprm.csv,0.42,0.0,0.53,0.63,0.41,0.55,0.68,0.51,0.64,0.92,0.71,0.33,0.41,0.57,0.88
