,id,count_recall,count_precision,count_pf,cdom_score,bellwether
55,2,1,1,1,0,logicmail.csv
51,3,3,3,7,9,unbvision.csv
50,4,1,5,15,15,mevenide.csv
57,5,3,5,6,10,jmoney.csv
21,6,4,9,11,13,mclient-mume.csv
17,7,2,7,15,17,freedom-erp.csv
27,8,2,10,18,18,mediaportal.csv
16,9,1,2,10,9,avisynth2.csv
24,10,2,2,8,8,jam-daq.csv
56,13,2,0,2,5,pi-qmc.csv
58,14,1,0,2,1,emftriple.csv
18,16,5,7,10,13,riff-evolve.csv
23,17,1,1,5,5,fm-classic.csv
14,18,1,2,8,7,snakeyaml.csv
25,19,6,5,1,8,cascading.csv
13,20,2,4,5,7,jsecurity.csv
28,21,1,0,4,6,kftpgrabber.csv
59,22,6,4,9,16,voms.csv
49,23,3,7,14,14,gzigzag.csv
48,24,4,6,9,9,lockss.csv
60,25,7,5,4,8,carabiner.csv
26,26,1,4,5,6,re2c.csv
15,27,2,0,3,4,autat.csv
22,28,4,6,11,13,emeraldemu.csv
38,30,1,0,4,5,powerfolder-.csv
33,31,2,3,6,8,tokratan.csv
5,32,1,6,13,14,amateur-scrolls.csv
12,33,6,1,2,11,jguard.csv
11,34,3,2,2,3,qmmp.csv
6,35,3,2,1,1,maya-work-in-progress.csv
32,36,1,5,6,7,ftm.csv
39,37,2,2,6,6,metacosm.csv
31,38,6,0,0,6,net-snmp.csv
40,39,0,1,2,2,zorannt.csv
53,40,5,2,1,8,bacnet.csv
46,41,1,8,19,18,quark.csv
19,42,1,1,3,3,dataobjectsdotnet.csv
30,43,2,9,10,15,open-ms.csv
29,44,6,6,10,17,uwom.csv
20,45,4,3,7,10,biodwh.csv
45,46,8,4,6,9,olap-navigator.csv
54,47,1,2,11,11,ondex.csv
47,48,2,2,12,13,gtad.csv
52,49,1,3,9,10,ktc.csv
8,51,3,3,9,10,jstock.csv
41,52,1,3,13,13,wxcode.csv
37,53,1,5,8,8,customsagetv.csv
36,54,2,2,2,2,freewrl.csv
42,55,2,3,4,6,moving-pictures.csv
4,57,2,2,5,5,jaql.csv
9,58,4,6,7,10,modellus.csv
1,59,2,2,3,3,columba.csv
0,61,1,8,14,16,rodin-b-sharp.csv
35,62,5,4,2,8,jsr308-langtools.csv
43,63,1,5,12,16,m-a-d-n-e-s-s.csv
44,64,1,8,17,16,mptvseries.csv
34,65,2,2,10,12,gwanted.csv
2,66,1,7,8,13,rockbox.csv
10,67,4,4,7,15,co-ode-owl-plugins.csv
3,68,1,0,3,3,jrdf.csv
7,69,2,0,2,1,ambulant.csv
