,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv
adonthell.csv,0.18,0.76,0.18,0.06,0.39,0.01,0.83,0.46,0.27,0.33,0.22,0.22,0.3,0.31,0.61,0.51,0.84,0.06,0.72,0.48,0.76,0.63,0.2,0.47,0.51,0.24,0.21,0.07,0.07,0.1,0.03,0.95,0.8,0.05,0.9,0.87,0.46,0.2,0.49,0.16,0.7,,0.73,0.87,0.29,0.37,0.73
amanda.csv,0.69,0.13,0.43,0.82,0.68,0.87,0.74,0.72,0.27,0.53,0.22,0.22,0.3,0.31,0.61,0.6,0.04,0.81,0.72,0.6,0.05,0.85,0.5,0.76,0.7,0.53,0.21,0.68,0.07,0.65,0.77,0.97,0.83,0.05,0.76,0.88,0.65,0.63,0.72,0.16,0.7,0.53,0.83,0.81,,0.69,0.83
amygdala.csv,0.34,0.13,0.33,0.06,0.14,0.86,0.01,0.1,,0.18,0.57,0.29,0.2,0.31,0.05,0.08,0.04,0.81,0.02,0.09,0.05,0.04,0.31,0.1,0.08,0.26,0.69,0.55,0.44,0.46,0.66,0.0,0.05,0.72,0.76,0.87,0.1,0.3,0.09,0.37,0.68,0.31,0.02,0.01,0.22,0.15,0.58
bloodycore.csv,0.18,0.4,0.18,0.58,0.39,0.01,0.83,0.46,0.23,0.33,0.28,0.29,0.3,0.2,0.61,0.51,0.64,0.56,,0.48,0.59,0.63,0.2,0.47,0.51,0.24,0.3,0.07,0.54,0.1,0.03,0.95,0.6,0.6,0.02,0.0,0.46,0.2,0.5,0.37,0.03,0.2,0.73,0.83,0.29,0.37,0.06
bzbyte.csv,0.18,0.13,0.18,0.82,0.39,0.85,0.83,0.46,0.27,0.33,0.22,0.22,0.3,0.31,0.61,0.51,0.84,0.81,0.72,0.48,0.7,0.63,0.76,0.47,0.51,0.24,0.21,0.07,0.07,0.1,0.03,0.96,0.05,0.05,0.76,0.87,0.54,0.4,0.63,0.16,0.7,0.31,0.73,0.85,0.29,0.53,
etics.csv,0.34,0.67,0.62,,0.62,0.81,0.61,0.1,0.55,0.18,0.44,0.57,0.2,0.54,0.05,0.65,0.68,0.67,0.02,0.69,0.72,0.72,0.5,0.7,0.08,0.26,0.61,0.6,0.56,0.61,0.8,0.95,0.6,0.6,0.89,0.88,0.55,0.42,0.75,0.5,0.65,0.47,0.02,0.8,0.6,0.64,0.63
fleet-simulator.csv,0.18,0.67,0.18,0.79,0.39,0.82,0.83,0.46,0.27,0.33,0.42,0.22,0.3,0.31,0.61,0.51,0.85,0.69,0.72,0.48,0.72,0.63,0.2,0.47,0.51,0.24,0.48,0.07,0.07,0.1,0.03,0.95,0.79,0.05,,0.87,0.68,0.2,0.68,0.15,0.69,0.51,0.73,0.9,0.29,0.37,0.72
flylegacy.csv,0.34,0.59,0.61,0.72,0.69,0.82,0.84,0.79,0.69,0.47,0.56,0.58,0.2,0.7,0.05,0.54,0.62,0.69,0.02,0.79,0.64,0.84,0.31,0.68,0.8,0.37,0.34,,0.79,0.67,0.79,0.97,0.64,0.79,0.73,0.87,0.66,0.57,0.6,0.47,0.7,0.47,0.74,0.83,0.76,0.51,0.65
fmri-dmt.csv,0.18,0.56,0.76,0.65,0.39,0.93,0.83,0.46,0.26,0.33,0.22,0.22,0.3,0.42,0.61,0.51,0.68,0.71,0.72,0.48,0.55,0.63,0.2,0.53,0.51,0.24,0.21,0.07,0.73,0.1,0.03,0.94,0.65,0.05,0.73,0.82,0.59,0.76,0.57,0.39,0.7,0.57,0.73,,0.29,0.38,0.43
freedom-erp.csv,,0.13,0.33,0.06,0.14,0.86,0.01,0.58,0.27,0.17,0.22,0.22,0.3,0.31,0.61,0.77,0.04,0.06,0.72,0.09,0.05,0.04,0.31,0.1,0.72,0.6,0.21,0.58,0.07,0.46,0.66,0.0,0.05,0.05,0.76,0.87,0.1,0.3,0.09,0.16,0.7,0.31,0.75,0.01,0.22,0.76,0.58
