,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv
adonthell.csv,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,1.0,0.24,0.77,1.0,1.0,1.0,1.0,1.0,,1.0,0.83,1.0,1.0,0.59
amanda.csv,0.93,1.0,0.88,0.9,0.57,0.75,1.0,0.87,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.77,1.0,0.98,1.0,0.78,1.0,0.67,0.89,0.81,0.86,0.93,1.0,0.59,1.0,0.75,0.54,0.97,0.95,1.0,1.0,0.89,0.91,0.76,0.8,1.0,1.0,0.98,0.5,0.9,,0.91,0.89
amygdala.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.66,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.98,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,1.0,1.0,1.0
bloodycore.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bzbyte.csv,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,1.0,0.89,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57,1.0,1.0,1.0,0.83,0.83,0.94,0.74,1.0,1.0,1.0,1.0,0.7,1.0,0.84,
etics.csv,1.0,0.77,0.67,,0.57,0.9,0.99,1.0,0.76,1.0,0.9,0.76,1.0,0.68,1.0,0.78,0.74,0.72,1.0,0.75,0.63,0.87,0.89,0.53,1.0,1.0,0.61,0.96,0.87,0.66,0.76,0.65,1.0,1.0,0.89,0.66,0.77,0.83,0.84,0.76,0.88,0.95,1.0,0.87,0.92,0.53,0.77
fleet-simulator.csv,1.0,0.89,1.0,0.65,1.0,0.87,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,0.81,0.92,1.0,1.0,0.63,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.64,1.0,,0.72,0.64,1.0,0.55,1.0,1.0,0.7,1.0,0.5,1.0,1.0,0.64
flylegacy.csv,1.0,0.72,0.71,0.85,0.5,0.91,0.95,0.94,0.53,0.97,0.63,0.61,1.0,0.58,1.0,0.89,0.86,0.66,1.0,0.99,0.74,0.96,1.0,0.64,0.96,0.99,0.94,,0.42,0.67,0.51,0.55,0.77,0.48,0.95,0.83,0.59,0.63,0.81,0.87,0.79,0.77,0.79,0.73,0.9,0.87,0.72
fmri-dmt.csv,1.0,0.87,0.96,0.68,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.82,0.9,1.0,1.0,0.88,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.81,1.0,1.0,1.01,0.7,1.0,1.02,0.97,0.82,0.92,0.91,0.97,1.0,0.66,1.0,,1.0,0.99,0.96
freedom-erp.csv,,1.0,1.0,1.0,1.0,1.0,1.0,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.91,1.0,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,0.99,1.0
gdis.csv,0.99,0.96,0.82,1.01,1.0,1.03,1.0,0.93,0.83,0.99,0.95,0.78,0.99,0.81,0.71,0.95,0.85,0.79,0.86,0.91,0.94,0.96,0.96,0.83,0.72,0.96,0.98,0.88,0.65,0.83,,0.9,0.85,0.65,1.07,1.0,0.94,0.8,1.0,0.99,1.0,0.88,0.83,0.94,0.89,0.99,0.84
geotools.csv,1.0,1.0,0.73,1.0,0.57,1.0,0.99,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.99,0.95,1.0,0.87,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0
gnukeda.csv,1.0,1.0,0.83,0.91,0.94,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.95,1.0,0.8,0.6,1.0,1.0,1.0,1.0,1.0,0.77,0.8,0.9,1.0,1.0,0.25,1.0,1.0,,0.88,1.0,1.0,1.0,1.0,0.95,1.0,0.68,1.0
gtad.csv,1.0,0.53,1.0,0.82,1.0,0.99,1.0,1.0,1.0,1.0,0.88,0.84,1.0,0.89,1.0,1.0,0.58,0.83,1.0,1.0,0.51,1.0,1.0,1.0,1.0,1.0,0.41,1.0,0.74,1.0,1.0,,0.55,1.0,0.21,0.67,1.01,1.0,0.51,0.87,0.64,0.73,1.0,0.63,1.0,0.96,0.52
iaml.csv,1.0,0.96,,0.92,0.52,0.96,0.69,1.0,0.9,0.97,1.0,1.0,1.0,0.95,1.0,0.96,0.87,1.0,1.0,0.51,1.02,0.81,0.96,0.5,1.0,1.0,1.0,0.92,0.93,0.63,0.42,1.01,0.92,0.92,0.67,0.69,0.87,0.68,0.86,0.71,1.0,0.92,0.98,0.84,0.78,0.62,0.74
