,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv
adonthell.csv,0.25,0.54,0.26,0.09,0.48,0.01,0.87,0.55,0.36,0.42,0.3,0.3,0.39,0.4,0.68,0.6,0.15,0.1,0.78,0.57,0.76,0.7,0.28,0.56,0.59,0.32,0.28,0.11,0.11,0.16,0.06,0.96,0.53,0.08,0.83,0.43,0.55,0.28,0.58,0.22,0.76,,0.79,0.88,0.37,0.46,0.56
amanda.csv,0.33,0.2,0.44,0.23,0.59,0.8,0.02,0.63,0.36,0.5,0.3,0.3,0.39,0.4,0.68,0.4,0.07,0.13,0.78,0.4,0.09,0.48,0.46,0.38,0.66,0.38,0.28,0.59,0.11,0.65,0.71,0.05,0.15,0.08,0.8,0.87,0.26,0.56,0.38,0.22,0.76,0.41,0.79,0.2,,0.33,0.71
amygdala.csv,0.43,0.2,0.42,0.09,0.21,0.89,0.01,0.16,,0.25,0.56,0.37,0.28,0.4,0.08,0.13,0.07,0.13,0.04,0.14,0.09,0.07,0.39,0.15,0.13,0.35,0.51,0.63,0.14,0.55,0.73,0.0,0.08,0.7,0.81,0.9,0.15,0.39,0.13,0.46,0.56,0.4,0.04,0.01,0.29,0.22,0.66
bloodycore.csv,0.25,0.49,0.26,0.66,0.48,0.01,0.87,0.55,0.31,0.42,0.37,0.37,0.39,0.27,0.68,0.6,0.71,0.64,,0.57,0.67,0.7,0.28,0.56,0.59,0.32,0.39,0.11,0.63,0.16,0.06,0.96,0.67,0.67,0.03,0.01,0.55,0.28,0.58,0.46,0.05,0.27,0.79,0.87,0.37,0.46,0.09
bzbyte.csv,0.25,0.2,0.26,0.13,0.48,0.88,0.87,0.55,0.36,0.42,0.3,0.3,0.39,0.4,0.68,0.6,0.1,0.13,0.78,0.57,0.25,0.7,0.31,0.56,0.59,0.32,0.28,0.11,0.11,0.16,0.06,0.82,0.08,0.08,0.81,0.75,0.35,0.33,0.43,0.22,0.76,0.4,0.79,0.51,0.37,0.53,
etics.csv,0.43,0.62,0.53,,0.6,0.42,0.1,0.16,0.48,0.25,0.42,0.53,0.28,0.52,0.08,0.38,0.64,0.67,0.04,0.43,0.53,0.25,0.46,0.61,0.13,0.35,0.6,0.63,0.55,0.6,0.38,0.72,0.67,0.67,0.21,0.63,0.54,0.4,0.34,0.5,0.28,0.32,0.04,0.54,0.38,0.63,0.62
fleet-simulator.csv,0.25,0.33,0.26,0.5,0.48,0.28,0.87,0.55,0.36,0.42,0.36,0.3,0.39,0.4,0.68,0.6,0.33,0.22,0.78,0.57,0.53,0.7,0.28,0.56,0.59,0.32,0.31,0.11,0.11,0.16,0.06,0.96,0.51,0.08,,0.65,0.68,0.28,0.64,0.22,0.74,0.5,0.79,0.65,0.37,0.46,0.52
flylegacy.csv,0.43,0.6,0.58,0.71,0.64,0.55,0.11,0.24,0.65,0.28,0.56,0.58,0.28,0.66,0.08,0.27,0.54,0.5,0.04,0.16,0.46,0.14,0.39,0.52,0.18,0.35,0.33,,0.79,0.67,0.63,0.61,0.6,0.79,0.63,0.75,0.57,0.57,0.36,0.35,0.54,0.45,0.39,0.58,0.4,0.35,0.64
fmri-dmt.csv,0.25,0.33,0.31,0.55,0.48,0.13,0.87,0.55,0.34,0.42,0.3,0.3,0.39,0.41,0.68,0.6,0.32,0.24,0.78,0.57,0.42,0.7,0.28,0.56,0.59,0.32,0.28,0.11,0.35,0.16,0.06,0.9,0.56,0.08,0.7,0.53,0.6,0.37,0.59,0.25,0.75,0.57,0.79,,0.37,0.44,0.16
freedom-erp.csv,,0.2,0.42,0.09,0.21,0.89,0.01,0.58,0.36,0.24,0.3,0.3,0.39,0.4,0.68,0.35,0.07,0.1,0.78,0.14,0.09,0.07,0.39,0.15,0.51,0.4,0.28,0.56,0.11,0.55,0.73,0.0,0.08,0.08,0.81,0.9,0.15,0.39,0.13,0.22,0.76,0.4,0.3,0.01,0.29,0.23,0.66
gdis.csv,0.43,0.24,0.53,0.08,0.2,0.76,0.01,0.24,0.49,0.26,0.35,0.49,0.3,0.51,0.44,0.19,0.29,0.36,0.25,0.26,0.23,0.14,0.42,0.35,0.5,0.38,0.31,0.63,0.51,0.61,,0.18,0.3,0.53,0.61,0.88,0.23,0.51,0.13,0.24,0.75,0.45,0.29,0.13,0.37,0.23,0.68
geotools.csv,0.25,0.2,0.51,0.09,0.59,0.89,0.03,0.55,0.36,0.47,0.3,0.3,0.39,0.4,0.68,,0.07,0.1,0.78,0.58,0.16,0.7,0.37,0.15,0.59,0.32,0.28,0.11,0.11,0.63,0.73,0.0,0.08,0.08,0.81,0.81,0.15,0.39,0.15,0.22,0.76,0.4,0.79,0.01,0.37,0.31,0.66
gnukeda.csv,0.25,0.2,0.4,0.22,0.52,0.88,0.87,0.55,0.36,0.41,0.3,0.3,0.39,0.4,0.68,0.6,0.07,0.13,0.78,0.57,0.16,0.7,0.46,0.65,0.59,0.32,0.28,0.11,0.11,0.41,0.33,0.18,0.08,0.08,0.97,0.88,0.15,,0.29,0.22,0.76,0.4,0.79,0.12,0.37,0.54,0.64
gtad.csv,0.25,0.62,0.26,0.32,0.48,0.05,0.87,0.55,0.36,0.42,0.38,0.45,0.39,0.49,0.68,0.6,0.57,0.32,0.78,0.57,0.74,0.7,0.28,0.56,0.59,0.32,0.77,0.11,0.44,0.16,0.06,,0.69,0.08,0.86,0.55,0.51,0.28,0.68,0.37,0.64,0.48,0.79,0.69,0.37,0.49,0.61
