,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.6,0.83,0.48,0.58,0.51,0.4,0.42,0.41,0.46,0.38,0.43,0.47,0.58,0.43,0.39,0.75,0.47,0.56
bscwweasel.csv,0.83,0.88,0.83,0.0,0.95,0.69,0.71,0.95,0.89,0.89,0.8,0.83,0.97,0.81,0.0,0.98,0.8,0.96
capcode.csv,0.94,0.67,0.57,0.84,0.95,0.5,0.9,0.98,0.95,0.91,0.79,0.86,0.7,0.96,0.67,0.94,0.58,0.97
dspace-gsoc.csv,0.73,0.29,0.71,0.68,0.63,0.93,0.53,0.97,0.95,0.9,0.39,0.49,0.96,0.52,0.89,0.77,0.91,0.86
emite.csv,0.81,0.97,0.52,0.88,0.89,0.4,0.55,0.46,0.57,0.46,0.55,0.7,0.57,0.52,0.57,0.49,0.5,0.6
fbmanager.csv,0.59,0.48,0.53,0.5,0.69,0.57,0.4,0.41,0.83,0.5,0.47,0.67,0.75,0.39,0.56,0.49,0.75,0.61
freenet.csv,0.54,0.42,0.35,0.57,0.5,0.41,0.41,0.43,0.62,0.5,0.34,0.42,0.61,0.32,0.51,0.54,0.62,0.52
geogebra.csv,0.94,0.67,0.55,0.88,0.49,0.44,0.43,0.44,0.92,0.49,0.56,0.41,0.65,0.97,0.45,0.76,0.83,0.53
megameknet.csv,0.56,0.56,0.41,0.83,0.83,0.53,0.44,0.45,0.62,0.47,0.5,0.62,0.7,0.42,0.94,0.56,0.62,0.57
ondex.csv,0.83,0.97,0.58,0.86,0.76,0.53,0.55,0.54,0.97,0.7,0.89,0.85,0.97,0.97,0.67,0.68,0.91,0.69
onotoa.csv,0.5,0.42,0.43,0.44,0.49,0.51,0.47,0.46,0.41,0.39,0.43,0.4,0.54,0.97,0.46,0.53,0.56,0.58
paintown.csv,0.51,0.96,0.48,0.52,0.51,0.36,0.35,0.46,0.4,0.35,0.42,0.48,0.49,0.37,0.75,0.52,0.36,0.45
powerfolder.csv,0.0,0.67,0.5,0.0,0.5,0.75,0.0,0.67,0.0,0.0,0.83,0.8,0.9,0.93,0.0,0.93,0.0,0.0
retromenu.csv,0.94,0.97,0.73,0.72,0.88,0.55,0.57,0.49,0.85,0.56,0.75,0.83,0.61,0.65,0.8,0.79,0.43,0.83
smbopensoft.csv,0.78,0.43,0.93,0.86,0.89,0.67,0.94,0.67,0.85,0.95,0.63,0.83,0.74,0.51,0.9,0.88,0.59,0.87
triplea.csv,0.46,0.33,0.41,0.46,0.51,0.36,0.43,0.35,0.56,0.46,0.59,0.58,0.49,0.52,0.58,0.46,0.62,0.56
tweetsharp.csv,0.58,0.29,0.39,0.65,0.57,0.55,0.53,0.52,0.47,0.53,0.43,0.39,0.58,0.44,0.51,0.49,0.45,0.6
xamj.csv,0.46,0.53,0.33,0.48,0.56,0.42,0.41,0.37,0.41,0.45,0.39,0.55,0.5,0.39,0.44,0.46,0.4,0.64
