,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.54,0.08,0.63,0.45,0.21,0.55,0.25,0.7,1.0,0.8,0.62,0.11,0.39,0.36,0.6,0.3,0.63,0.52
bscwweasel.csv,0.16,0.06,0.16,0.06,1.0,0.53,0.34,0.17,0.15,0.17,0.26,0.36,0.22,0.27,0.0,0.4,0.21,0.31
capcode.csv,0.26,0.02,0.36,0.31,0.35,0.09,0.91,0.27,0.22,0.16,0.32,0.17,0.23,0.14,0.51,0.19,0.56,0.27
dspace-gsoc.csv,0.35,0.61,0.35,0.34,0.39,0.22,0.2,0.25,0.22,0.19,1.0,0.09,0.22,0.17,0.1,0.35,0.3,0.31
emite.csv,0.4,0.26,0.57,0.33,0.14,0.56,0.24,0.59,0.5,0.67,0.41,0.16,0.38,0.31,0.98,0.48,0.42,0.45
fbmanager.csv,0.52,0.37,0.55,1.0,0.27,0.5,0.25,0.63,0.26,0.51,0.58,0.14,0.39,0.31,0.61,0.44,0.41,0.4
freenet.csv,0.56,0.4,0.75,0.56,0.26,0.54,0.25,0.99,0.43,0.64,0.65,0.1,0.41,0.26,0.5,0.36,0.38,0.48
geogebra.csv,0.21,0.06,0.48,0.31,0.18,0.34,0.22,0.67,0.15,0.79,0.38,0.07,0.47,0.31,0.49,0.95,0.17,0.42
megameknet.csv,0.56,0.58,0.67,0.2,0.2,0.47,0.14,0.61,0.58,0.54,0.58,0.07,0.93,0.28,0.17,0.41,0.52,0.44
ondex.csv,0.39,0.26,0.57,0.33,0.16,0.39,0.15,0.6,0.33,0.61,0.27,0.04,0.41,0.94,0.42,0.27,0.34,0.34
onotoa.csv,0.63,0.36,0.65,0.67,0.19,0.41,0.2,0.72,0.84,1.0,0.63,0.05,0.31,0.22,0.49,0.29,0.68,0.39
paintown.csv,0.98,0.28,0.53,0.62,0.26,0.52,0.26,0.57,0.59,0.62,0.57,0.15,0.48,0.31,0.38,0.47,0.72,0.52
powerfolder.csv,0.03,0.04,0.12,0.0,0.09,0.32,0.0,0.03,0.02,0.0,0.1,1.0,0.13,0.0,0.0,0.16,0.05,0.0
retromenu.csv,0.21,0.38,0.47,0.38,0.29,0.98,0.24,0.54,0.31,0.36,0.38,0.17,0.52,0.28,0.17,0.4,0.52,0.42
smbopensoft.csv,0.42,0.96,0.47,0.39,0.16,0.31,0.0,0.46,0.36,0.34,0.47,0.09,0.29,0.28,0.31,0.14,0.61,0.35
triplea.csv,0.65,0.58,1.0,0.66,0.26,0.57,0.22,0.75,0.6,0.65,0.63,0.13,0.47,0.31,0.42,0.46,0.44,0.48
tweetsharp.csv,0.55,0.61,0.63,0.48,0.21,0.52,0.31,0.62,0.78,0.65,0.7,0.09,0.39,0.31,0.54,0.36,0.98,0.45
xamj.csv,0.62,0.64,0.75,0.65,0.16,0.49,0.27,0.76,0.84,0.81,0.64,0.11,0.38,0.34,0.55,0.33,0.85,0.97
