,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.49,0.04,0.56,0.38,0.7,0.67,0.75,0.72,0.99,0.77,0.61,0.8,0.83,0.82,0.9,0.34,0.57,0.6
bscwweasel.csv,0.09,0.03,0.09,0.03,1.0,0.43,0.42,0.1,0.08,0.09,0.17,0.4,0.16,0.3,0.0,0.31,0.12,0.2
capcode.csv,0.19,0.01,0.31,0.26,0.35,0.05,0.83,0.17,0.13,0.09,0.22,0.2,0.42,0.12,0.45,0.22,0.45,0.18
dspace-gsoc.csv,0.25,0.85,0.25,0.26,0.7,0.19,0.42,0.14,0.13,0.11,1.0,0.6,0.19,0.3,0.06,0.38,0.19,0.3
emite.csv,0.26,0.17,0.47,0.21,0.2,0.81,0.42,0.53,0.39,0.55,0.33,0.6,0.72,0.55,0.97,0.73,0.31,0.5
fbmanager.csv,0.47,0.39,0.44,1.0,0.5,0.52,0.58,0.56,0.16,0.38,0.53,0.6,0.38,0.67,0.55,0.64,0.29,0.56
freenet.csv,0.63,0.46,0.88,0.53,0.9,0.9,0.83,0.98,0.32,0.53,0.69,1.0,0.72,0.85,0.58,0.69,0.26,0.93
geogebra.csv,0.13,0.03,0.41,0.24,0.75,0.57,0.75,0.71,0.08,0.72,0.28,0.8,0.41,0.3,0.71,0.92,0.1,0.82
megameknet.csv,0.68,0.51,0.69,0.12,0.25,0.57,0.33,0.51,0.5,0.41,0.5,0.4,0.9,0.67,0.13,0.69,0.36,0.44
ondex.csv,0.31,0.17,0.5,0.26,0.4,0.52,0.42,0.57,0.21,0.47,0.17,0.2,0.3,0.91,0.45,0.41,0.21,0.51
onotoa.csv,0.85,0.42,0.62,0.88,0.75,0.57,0.58,0.76,0.95,1.0,0.64,0.6,0.74,0.21,0.68,0.61,0.62,0.69
paintown.csv,0.96,0.17,0.44,0.56,0.7,0.81,0.75,0.48,0.49,0.51,0.47,1.0,0.72,0.7,0.29,0.6,0.67,0.7
powerfolder.csv,0.01,0.02,0.06,0.0,0.05,0.19,0.0,0.02,0.01,0.0,0.06,1.0,0.07,0.0,0.0,0.09,0.02,0.0
retromenu.csv,0.13,0.26,0.31,0.29,0.2,0.95,0.33,0.41,0.19,0.24,0.25,0.4,0.48,0.36,0.1,0.34,0.4,0.29
smbopensoft.csv,0.4,0.95,0.34,0.35,0.3,0.33,0.0,0.37,0.25,0.22,0.36,0.4,0.39,0.55,0.26,0.17,0.55,0.34
triplea.csv,0.75,0.77,1.0,0.71,0.8,0.86,0.67,0.79,0.5,0.54,0.56,0.8,0.61,0.64,0.42,0.68,0.33,0.72
tweetsharp.csv,0.68,0.88,0.69,0.38,0.75,0.62,0.67,0.6,0.81,0.55,0.64,1.0,0.67,0.79,0.68,0.76,0.95,0.76
xamj.csv,0.88,0.56,0.91,0.88,0.55,0.71,0.92,0.92,0.94,0.76,0.64,0.8,0.93,0.85,0.77,0.78,0.98,0.95
