,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.56,0.98,0.9,0.74,0.96,0.67,0.75,0.9,0.49,0.73,0.95,0.61,0.84
empserver.csv,0.43,0.31,0.61,0.65,0.37,0.36,0.51,0.74,0.61,0.54,0.47,0.4,0.52
emulemorph.csv,0.67,0.0,0.0,0.97,0.91,0.75,0.75,0.75,0.89,0.0,0.88,0.88,0.88
google-web-toolkit.csv,0.66,0.37,0.51,0.55,0.44,0.45,0.53,0.67,0.53,0.9,0.48,0.58,0.5
htmlunit.csv,0.73,0.3,0.88,0.81,0.97,0.58,0.78,0.93,0.91,0.48,0.57,0.59,0.64
jaxen.csv,0.5,0.98,0.0,0.8,0.83,0.86,0.8,0.0,0.0,0.0,0.0,0.5,0.9
jguard.csv,0.43,0.28,0.66,0.46,0.4,0.38,0.46,0.56,0.69,0.43,0.54,0.51,0.47
kowari.csv,0.9,0.8,0.5,0.86,0.9,0.96,0.0,0.0,0.0,0.8,0.86,0.0,0.9
maidsafe-dht.csv,0.75,0.98,0.86,0.9,0.89,0.92,0.88,0.93,0.83,0.67,0.75,0.67,0.95
mimosa.csv,0.38,0.27,0.49,0.48,0.37,0.4,0.38,0.55,0.51,0.71,0.4,0.55,0.43
vdsf.csv,0.41,0.99,0.45,0.61,0.36,0.39,0.45,0.42,0.39,0.42,0.39,0.39,0.42
xbrlapi.csv,0.55,0.3,0.5,0.57,0.44,0.49,0.59,0.57,0.7,0.41,0.48,0.52,0.54
