,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.15,0.17,0.45,0.52,0.96,0.92
encog-java.csv,1.0,0.3,0.43,0.88,0.0,1.0
h2database.csv,0.11,0.98,0.22,0.57,0.58,0.94
jaql.csv,0.2,0.18,0.37,1.0,0.36,0.96
raven-monitoring.csv,0.16,0.09,0.97,0.43,0.35,0.93
v8.csv,0.11,0.14,0.4,0.4,0.43,1.0
