,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.54,0.61,0.33,0.62,0.93,0.45
encog-java.csv,0.83,0.2,0.57,0.09,0.0,0.06
h2database.csv,0.11,0.95,0.07,0.21,0.1,0.44
jaql.csv,0.72,0.61,0.46,0.98,0.47,0.52
raven-monitoring.csv,0.7,0.35,0.95,0.38,0.45,0.4
v8.csv,0.5,0.57,0.0,0.45,0.37,1.0
