,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.85,0.7,0.72,0.86,0.39,0.7,0.85,0.69,1.01,0.65,0.98
elateportal.csv,0.65,0.82,0.86,0.61,0.84,0.66,0.59,0.79,1.0,0.95,0.05
etics.csv,0.68,0.84,0.39,0.63,0.66,0.91,0.87,0.7,1.08,0.78,0.95
lockss.csv,0.69,0.59,0.58,0.47,0.62,0.55,0.77,0.42,0.49,0.87,0.38
pcgen.csv,0.93,1.0,1.0,0.37,1.0,0.69,1.0,0.65,1.0,1.0,1.0
personalaccess.csv,0.75,0.58,0.49,0.48,0.59,0.56,0.74,0.42,0.84,0.83,0.68
pydev.csv,0.61,0.71,0.44,0.63,0.5,0.69,0.76,0.61,1.29,0.39,0.93
rhex.csv,0.26,0.6,1.0,0.62,0.83,0.79,0.86,0.72,0.34,0.63,1.15
stuproa-cims.csv,0.83,0.85,0.85,0.44,0.64,0.56,0.5,0.71,0.46,0.71,0.95
uclmda.csv,0.84,0.95,1.01,0.93,1.01,1.0,0.98,0.95,0.01,0.98,0.97
wgs-assembler.csv,0.59,0.56,0.61,0.51,0.56,0.81,0.67,0.61,0.74,0.86,0.95
