,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.12,0.21,0.13,0.05,0.16,0.37,0.11,0.0,0.27,0.02,0.95
fceugc.csv,0.54,0.57,0.62,0.71,0.68,0.64,0.74,0.85,0.35,0.17,0.73
flexpay.csv,0.32,0.36,0.46,0.1,0.0,0.45,0.45,0.85,0.15,0.35,0.05
jstock.csv,0.19,0.5,0.43,0.24,0.32,0.33,0.41,0.92,0.15,0.23,0.44
keyczar.csv,0.09,0.29,0.18,0.05,0.19,0.13,0.17,0.23,0.31,0.75,0.15
modellus.csv,0.28,0.54,0.57,0.38,0.48,0.77,0.75,0.31,0.38,0.19,0.1
open-data-kit.csv,0.51,0.75,0.78,0.95,0.45,0.9,0.68,0.92,0.58,0.35,1.0
phet.csv,0.62,0.54,0.12,0.29,0.32,0.26,0.54,0.69,0.42,1.0,0.49
qtractor.csv,0.28,0.68,0.6,0.62,0.58,0.77,0.61,0.54,0.38,0.02,0.41
sumatrapdf.csv,0.87,0.86,0.98,0.95,0.77,0.9,0.97,1.0,0.85,0.67,0.98
synergyspace.csv,0.38,0.36,0.54,0.1,0.74,0.47,0.37,0.46,0.81,0.33,0.02
