,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.95,0.83,0.99,0.67,0.83,0.71,0.92,0.0,0.73,0.0,0.5
fceugc.csv,0.54,0.46,0.51,0.46,0.59,0.52,0.43,0.38,0.62,0.85,0.45
flexpay.csv,0.45,0.83,0.66,0.89,0.0,0.57,0.59,0.41,0.56,0.92,0.88
jstock.csv,0.61,0.41,0.55,0.83,0.91,0.68,0.62,0.55,0.93,0.69,0.52
keyczar.csv,0.96,0.71,0.99,0.9,0.57,0.86,0.87,0.6,0.73,0.45,0.9
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39,0.88,0.61,0.77,0.8
open-data-kit.csv,0.45,0.38,0.44,0.34,0.81,0.4,0.52,0.48,0.56,0.58,0.45
phet.csv,0.86,0.58,0.99,0.67,0.47,0.7,0.55,0.38,0.68,0.44,0.69
qtractor.csv,0.41,0.52,0.46,0.52,0.62,0.4,0.46,0.64,0.47,0.0,0.55
sumatrapdf.csv,0.39,0.43,0.39,0.39,0.59,0.43,0.38,0.44,0.54,0.48,0.42
synergyspace.csv,0.59,0.89,0.54,0.88,0.5,0.56,0.64,0.48,0.66,0.86,0.83
