,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,98.5,95.5,96.5,758.0,441.5,183.0,324.0,166.0,156.0,0.0
flylegacy.csv,98.5,194.0,96.5,493.0,180.0,97.5,292.5,98.5,588.0,183.0
jguard.csv,98.5,95.5,96.5,394.5,98.5,195.0,195.0,98.5,489.5,283.5
m-a-d-n-e-s-s.csv,94.5,58.5,96.5,196.5,279.0,145.0,82.5,30.5,389.5,238.0
mob-sen-plat.csv,192.0,279.5,98.5,983.5,98.5,196.0,367.0,98.5,489.0,283.5
raygina.csv,192.0,0.0,96.5,688.5,97.5,195.0,88.5,90.5,91.5,255.5
st-filteredstatistics.csv,98.5,181.0,98.5,983.5,98.5,196.0,195.0,193.0,390.0,283.5
upp-mirror.csv,94.5,88.5,98.5,984.0,98.5,196.0,275.5,93.5,487.0,283.5
wishmaster.csv,94.5,181.0,98.5,491.0,98.5,1014.0,275.5,193.0,170.0,283.5
yarp.csv,189.0,97.0,98.5,689.0,238.5,196.0,187.0,98.5,193.0,89.5
