,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.32,0.16,0.45,0.41,0.11,0.16,0.0,0.09,0.13,0.0
flylegacy.csv,0.5,0.62,0.75,0.27,0.54,0.47,0.3,0.71,0.47,0.47
jguard.csv,0.52,0.17,0.74,0.33,0.71,0.59,0.38,0.83,0.48,0.56
m-a-d-n-e-s-s.csv,0.34,0.06,0.48,0.27,0.09,0.06,0.12,0.1,0.67,0.19
mob-sen-plat.csv,0.56,0.75,0.83,0.22,0.71,0.44,0.37,0.7,0.58,0.52
raygina.csv,0.6,0.0,0.69,0.22,0.27,0.33,0.28,0.33,0.36,0.38
st-filteredstatistics.csv,0.57,0.6,0.81,0.24,0.7,0.47,0.32,0.86,0.5,0.54
upp-mirror.csv,0.43,0.25,0.79,0.31,0.76,0.49,0.24,0.46,0.45,0.33
wishmaster.csv,0.33,0.29,0.55,0.27,0.62,0.32,0.57,0.18,0.47,0.43
yarp.csv,0.43,0.06,0.69,0.17,0.11,0.36,0.22,0.38,0.39,0.51
