,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.93,0.88,0.65,0.55,0.86,0.79,0.17,0.99,0.81,0.87,0.97,0.96,0.84,0.89,1.02,0.85
galaxium.csv,0.53,0.62,0.73,0.97,0.66,1.22,0.72,0.93,0.61,0.29,0.53,0.51,0.63,0.82,0.66,0.6
hydrate.csv,0.49,0.44,0.62,0.85,0.84,0.9,0.8,0.98,0.84,0.77,0.9,0.8,0.84,0.46,0.74,0.58
ivef-sdk.csv,0.77,0.52,0.6,0.7,0.79,0.0,0.98,0.95,0.8,0.89,1.0,1.11,0.67,0.89,0.96,1.0
jmri.csv,0.61,0.76,0.5,0.89,0.97,0.43,0.72,0.42,0.53,0.75,0.66,0.75,0.64,0.86,0.81,0.76
jython.csv,0.93,0.89,0.71,0.8,0.91,0.8,0.97,0.21,0.78,0.88,0.87,0.67,0.63,0.82,0.95,0.81
kdenlive.csv,0.46,0.54,0.61,0.82,0.69,1.02,0.79,0.99,0.52,0.52,0.78,0.77,0.79,0.64,0.62,0.69
ninject.csv,0.89,0.98,0.75,0.72,0.84,0.3,1.0,0.95,0.89,0.92,1.0,0.7,0.92,0.62,0.09,0.76
ondex.csv,0.56,0.68,0.57,0.8,0.88,0.93,0.9,0.95,0.67,0.82,0.48,0.78,0.51,0.9,0.67,0.74
opentibia.csv,0.79,0.49,0.69,0.66,0.73,0.97,0.89,0.88,1.0,0.9,0.76,0.81,0.66,0.87,0.61,0.67
runuomondains.csv,0.56,0.68,0.59,0.9,0.89,1.2,0.77,0.3,0.53,0.62,0.28,0.66,0.74,0.85,0.6,0.71
somap.csv,0.93,0.92,0.82,0.85,0.83,1.12,0.77,1.0,1.0,0.91,0.93,0.14,0.92,0.95,0.82,1.0
taverna.csv,0.63,0.65,0.76,0.86,0.38,1.06,0.63,1.02,0.8,0.8,0.66,0.67,0.59,0.86,1.06,0.73
tigermud.csv,0.85,0.94,0.86,0.97,0.63,0.99,0.8,1.03,0.91,0.7,0.59,0.46,0.83,0.54,0.32,0.84
unbvision.csv,0.51,0.59,0.63,0.84,0.78,1.09,0.81,0.32,0.34,0.62,0.61,0.88,0.72,0.69,0.33,0.52
x-ray-mule.csv,0.84,0.83,0.89,0.26,0.7,1.0,0.95,0.95,0.87,0.8,1.0,0.7,0.68,0.66,0.96,0.94
