,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,4.0,32.0,1.0,0.0,8.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,41.0,1.0
bdbbasic.csv,0.0,34.0,36.0,2.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0
crux-framework.csv,3.0,5.0,10.0,2.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
echongl.csv,2.0,29.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,60.0,1.0
etherboot.csv,0.0,3.0,411.0,0.0,4.0,2.0,0.0,1.0,2.0,136.0,2.0,0.0,0.0,342.0,21.0,3.0
freebios.csv,0.0,15.0,67.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,51.0,1.0
gebr.csv,0.0,45.0,1.0,2.0,3.0,5.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,4.0,68.0,1.0
glelite.csv,5.0,38.0,1.0,2.0,0.0,5.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,65.0,7.0
gnukeda.csv,0.0,21.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,76.0,1.0
google-gears.csv,3.0,40.0,1.0,1.0,0.0,5.0,1.0,0.0,8.0,0.0,15.0,2.0,0.0,1.0,32.0,1.0
gstreamer.csv,2.0,43.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,65.0,1.0
jnode.csv,105.0,3.0,2.0,0.0,82.0,116.0,1.0,0.0,3.0,0.0,2.0,1.0,152.0,3.0,20.0,0.0
metacosm.csv,3.0,17.0,4.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0
openmeetings.csv,5.0,0.0,37.0,0.0,6.0,3.0,1.0,0.0,6.0,0.0,6.0,1.0,0.0,1.0,11.0,5.0
tradelink.csv,4.0,19.0,1.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,58.0,1.0
wxcrp.csv,3.0,44.0,1.0,2.0,0.0,17.0,10.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,59.0,1.0
