,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.4,0.77,0.82,0.63,0.71,0.61,0.5,0.44,0.69,0.71,0.76,0.66,0.74,0.69,0.73,0.95,0.51,0.76,0.45
autat.csv,0.39,0.84,0.46,0.67,0.89,0.58,0.83,0.5,0.66,0.88,0.58,0.76,0.63,0.61,0.98,0.88,0.65,0.71,0.63
brlcad.csv,0.37,0.84,0.43,0.43,0.5,0.46,0.45,0.34,0.47,0.37,0.45,0.49,0.57,0.39,0.51,0.46,0.42,0.46,0.37
delphilhlplib.csv,0.45,0.46,0.42,0.8,0.69,0.44,0.58,0.62,0.77,0.53,0.67,0.54,0.6,0.38,0.52,0.53,0.56,0.46,0.61
exordium.csv,0.38,0.5,0.5,0.95,0.72,0.52,0.73,0.71,0.88,0.65,0.44,0.87,0.46,0.88,0.98,0.83,0.84,0.51,0.93
fltk.csv,0.46,0.7,0.77,0.53,0.48,0.68,0.86,0.43,0.96,0.88,0.94,0.8,0.79,0.66,0.99,0.73,0.66,0.85,0.42
google-web-toolkit.csv,0.44,0.66,0.86,0.98,0.61,0.91,0.58,0.65,0.96,0.9,0.55,0.86,0.88,0.9,0.98,0.63,0.62,0.51,0.76
gzigzag.csv,0.63,0.81,0.91,0.87,0.88,0.85,0.52,0.5,0.73,0.92,0.86,0.66,0.66,0.69,0.85,0.94,0.9,0.81,0.76
irrlicht.csv,0.36,0.49,0.46,0.44,0.41,0.48,0.36,0.31,0.43,0.5,0.44,0.5,0.45,0.38,0.49,0.44,0.42,0.48,0.37
mimosa.csv,0.38,0.66,0.69,0.56,0.56,0.46,0.71,0.42,0.68,0.44,0.54,0.62,0.5,0.55,0.79,0.66,0.57,0.42,0.67
mptvseries.csv,0.38,1.0,0.86,0.74,0.67,0.94,0.58,0.67,0.96,0.88,0.93,0.97,0.82,0.92,0.94,0.93,0.77,0.98,0.56
ogre.csv,0.33,0.45,0.38,0.42,0.41,0.39,0.38,0.33,0.43,0.35,0.36,0.44,0.43,0.38,0.48,0.43,0.39,0.39,0.37
openfrag.csv,0.33,0.37,0.39,0.42,0.44,0.4,0.46,0.32,0.58,0.52,0.37,0.47,0.35,0.41,0.54,0.52,0.45,0.41,0.41
qdvdauthor.csv,0.41,0.59,0.53,0.61,0.61,0.83,0.52,0.35,0.55,0.46,0.71,0.61,0.57,0.41,0.51,0.52,0.49,0.61,0.44
qse.csv,0.41,0.55,0.43,0.56,0.58,0.6,0.61,0.3,0.64,0.53,0.68,0.54,0.52,0.31,0.73,0.6,0.57,0.53,0.45
sauerbraten.csv,0.37,0.6,0.79,0.62,0.6,0.6,0.86,0.68,0.97,0.8,0.74,0.59,0.58,0.95,0.97,0.72,0.85,0.76,0.88
toped.csv,0.36,0.63,0.8,0.77,0.71,0.95,0.44,0.34,0.51,0.6,0.54,0.73,0.49,0.89,0.72,0.54,0.74,0.82,0.69
truevision.csv,0.36,0.51,0.43,0.77,0.58,0.45,0.67,0.38,0.78,0.46,0.49,0.69,0.59,0.61,0.98,0.46,0.62,0.5,0.58
zoolib.csv,0.43,0.99,0.5,0.98,0.83,0.93,0.5,0.89,0.93,0.8,0.93,0.98,0.92,0.88,0.96,0.93,0.93,0.98,0.83
