,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.0,66.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,224.0,1.0,0.0,3.0,124.0,3.0,0.0,2.0,1.0,65.0
cuberok.csv,1.0,5.0,0.0,5.0,2.0,0.0,3.0,5.0,1.0,0.0,3.0,9.0,0.0,67.0,33.0,5.0,1.0,0.0,1.0,29.0
emisview.csv,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,49.0,0.0,224.0,0.0,0.0,67.0,124.0,2.0,2.0,71.0,0.0,65.0
jas.csv,109.0,66.0,0.0,49.0,88.0,67.0,75.0,2.0,2.0,56.0,22.0,57.0,1.0,67.0,0.0,161.0,74.0,71.0,0.0,65.0
jatlas.csv,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,56.0,224.0,57.0,1.0,67.0,124.0,3.0,4.0,0.0,110.0,65.0
javaprofiler.csv,4.0,13.0,0.0,1.0,0.0,3.0,5.0,6.0,0.0,2.0,41.0,3.0,0.0,67.0,1.0,5.0,0.0,2.0,0.0,8.0
jchassis.csv,109.0,66.0,60.0,49.0,88.0,67.0,75.0,104.0,49.0,56.0,224.0,57.0,67.0,1.0,124.0,161.0,74.0,71.0,110.0,65.0
jgossipforum.csv,109.0,66.0,60.0,49.0,2.0,67.0,75.0,2.0,1.0,56.0,1.0,57.0,67.0,67.0,124.0,161.0,74.0,71.0,110.0,65.0
jrefactory.csv,2.0,19.0,0.0,3.0,0.0,7.0,6.0,0.0,0.0,2.0,75.0,1.0,0.0,10.0,9.0,15.0,0.0,1.0,0.0,10.0
kdenlive.csv,0.0,4.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,13.0,9.0,0.0,67.0,124.0,2.0,0.0,0.0,0.0,24.0
m-m-m.csv,0.0,20.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,101.0,5.0,0.0,10.0,10.0,33.0,7.0,4.0,0.0,7.0
octet.csv,0.0,6.0,2.0,49.0,0.0,2.0,1.0,3.0,0.0,56.0,23.0,0.0,0.0,67.0,13.0,0.0,74.0,71.0,0.0,65.0
opendvr.csv,2.0,28.0,0.0,0.0,0.0,9.0,19.0,4.0,0.0,3.0,96.0,5.0,0.0,67.0,124.0,27.0,0.0,1.0,0.0,32.0
opennms.csv,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,56.0,10.0,1.0,0.0,0.0,124.0,3.0,1.0,0.0,0.0,65.0
poormans.csv,0.0,6.0,0.0,49.0,3.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,67.0,124.0,0.0,0.0,0.0,0.0,13.0
power-architect.csv,3.0,22.0,0.0,1.0,2.0,9.0,8.0,0.0,0.0,3.0,224.0,2.0,0.0,9.0,10.0,38.0,0.0,3.0,0.0,8.0
rohxel.csv,3.0,31.0,0.0,1.0,0.0,10.0,10.0,0.0,0.0,4.0,132.0,5.0,0.0,10.0,10.0,41.0,0.0,3.0,0.0,10.0
synecdoche.csv,0.0,6.0,0.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,11.0,18.0,0.0,67.0,4.0,1.0,0.0,0.0,0.0,0.0
thedata.csv,0.0,8.0,0.0,49.0,0.0,1.0,1.0,4.0,0.0,7.0,66.0,0.0,0.0,67.0,124.0,12.0,74.0,2.0,0.0,0.0
x-ray-mule.csv,3.0,9.0,0.0,0.0,0.0,1.0,75.0,0.0,0.0,6.0,224.0,4.0,0.0,67.0,2.0,1.0,1.0,5.0,0.0,65.0
