,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.5,0.31,0.17,0.76,0.43,0.77,0.53,0.61,0.49,0.33
pclasses.csv,0.16,0.44,0.0,0.22,0.2,0.04,0.21,0.0,0.3,0.0
pfaedit.csv,0.16,0.17,0.0,0.42,0.23,0.15,0.71,0.21,0.47,0.33
theresa.csv,0.32,0.46,0.21,0.22,0.34,0.04,0.24,0.67,0.23,0.22
thrust.csv,0.05,0.29,0.31,0.0,0.6,0.23,0.26,0.48,0.25,0.33
tktoolkit.csv,0.36,0.79,0.0,0.26,0.6,0.55,0.42,0.14,0.38,0.67
trinitycore.csv,0.12,0.4,0.28,0.46,0.4,0.11,0.66,0.25,0.37,0.0
tzod.csv,0.36,0.33,0.34,0.32,0.26,0.19,0.42,0.75,0.31,0.56
yaprm.csv,0.39,0.23,0.0,0.28,0.0,0.3,0.37,0.08,0.24,0.0
zemljanka.csv,0.73,0.58,0.86,0.58,0.83,0.57,0.82,0.83,0.84,0.0
