,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.55,0.26,0.73,0.67,0.39,0.76,0.35,0.43,0.47,0.31
pclasses.csv,0.82,0.48,0.0,0.67,0.13,0.0,0.08,0.04,0.36,0.0
pfaedit.csv,0.18,0.48,0.02,0.67,0.78,0.12,0.89,0.35,0.64,0.14
theresa.csv,0.18,0.67,0.29,1.0,0.7,0.0,0.46,0.7,0.42,0.44
thrust.csv,0.0,0.15,0.51,0.0,0.52,0.65,0.16,0.52,0.24,0.42
tktoolkit.csv,0.36,0.59,0.05,0.67,0.81,0.59,0.49,0.48,0.31,0.59
trinitycore.csv,0.45,0.52,0.29,1.0,0.52,0.18,0.65,0.22,0.51,0.18
tzod.csv,0.27,0.63,0.76,0.67,0.54,0.29,0.57,0.78,0.47,0.71
yaprm.csv,0.45,0.41,0.0,0.67,0.02,0.29,0.7,0.3,0.4,0.14
zemljanka.csv,0.82,0.78,0.88,1.0,0.87,0.59,0.92,0.7,0.93,0.79
