,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.54,0.3,0.75,0.49,0.42,0.52,0.37,0.42,0.48,0.35
pclasses.csv,0.82,0.49,0.0,0.69,0.16,0.0,0.1,0.05,0.4,0.0
pfaedit.csv,0.21,0.52,0.02,0.65,0.78,0.14,0.63,0.39,0.61,0.17
theresa.csv,0.21,0.64,0.33,0.95,0.69,0.0,0.5,0.57,0.46,0.48
thrust.csv,0.0,0.18,0.54,0.0,0.49,0.67,0.19,0.52,0.28,0.45
tktoolkit.csv,0.39,0.43,0.06,0.68,0.67,0.56,0.51,0.53,0.34,0.51
trinitycore.csv,0.5,0.53,0.33,0.85,0.53,0.21,0.55,0.26,0.53,0.22
tzod.csv,0.31,0.64,0.74,0.67,0.57,0.33,0.57,0.55,0.5,0.63
yaprm.csv,0.47,0.45,0.0,0.68,0.02,0.33,0.68,0.35,0.44,0.17
zemljanka.csv,0.58,0.67,0.43,0.78,0.48,0.55,0.5,0.43,0.47,0.82
