,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.33,0.56,0.83,0.56,0.72,0.68,0.6,0.59,0.8,0.69,0.72,0.55
codesmith.csv,0.8,0.8,0.76,0.71,0.71,0.62,0.87,0.82,0.59,0.94,0.78,0.37
icescrum.csv,0.46,0.65,0.73,0.67,0.6,0.74,0.57,0.52,0.77,0.85,0.22,0.85
ingex.csv,0.67,0.73,0.7,0.75,0.68,0.72,0.71,0.54,0.96,0.63,0.63,0.68
jrefactory.csv,0.9,0.86,0.4,0.89,0.89,0.88,0.78,0.55,0.99,0.7,0.76,0.98
jsecurity.csv,0.77,0.47,0.85,0.4,0.89,0.64,0.7,0.84,0.61,0.92,0.84,0.67
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.52,1.0,0.89,0.95,0.81,0.97,0.6
lite.csv,0.91,0.64,0.78,0.66,0.8,0.65,0.59,0.9,0.3,0.64,1.01,0.93
mobicents.csv,0.59,0.57,0.75,0.56,0.53,0.76,0.45,0.82,0.65,0.63,0.77,0.91
opendvr.csv,0.57,0.58,0.88,0.45,0.55,1.0,0.56,1.0,0.71,0.43,0.55,0.9
openefm.csv,0.79,0.43,0.76,0.61,0.88,0.73,0.71,0.63,0.8,0.77,0.57,0.58
sidekar.csv,1.0,0.67,1.0,1.0,0.3,1.0,1.0,1.0,0.98,1.0,1.0,1.0
