,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.78,0.96,0.49,0.94,1.0,1.0,0.74,0.39,0.98,0.97,1.0
haphazard.csv,0.67,0.48,0.41,0.58,0.35,0.55,0.22,0.67,0.25,0.25,0.42
jicarilla.csv,0.09,0.0,0.22,0.02,0.0,0.03,0.04,0.5,0.0,0.07,0.0
jruby.csv,0.44,0.24,0.27,0.12,0.89,0.68,0.0,1.0,0.71,0.67,0.53
optalgtoolkit.csv,0.3,0.29,0.57,0.47,0.31,0.23,0.52,0.89,0.63,0.41,0.16
ossim.csv,0.31,0.2,0.3,0.28,0.02,0.42,0.48,0.89,0.46,0.37,0.21
projectts.csv,0.48,0.31,0.24,0.51,0.89,0.71,0.41,0.06,0.54,0.34,1.0
qedo.csv,0.43,0.03,0.19,0.26,0.16,0.35,0.11,0.72,0.15,0.28,0.11
sabbu.csv,0.2,0.54,0.27,0.47,0.59,0.13,0.44,0.11,0.58,0.72,0.58
vxl.csv,0.65,0.32,0.49,0.42,0.61,0.61,0.48,0.22,0.56,0.8,0.74
zact.csv,0.43,0.05,0.05,0.21,0.29,0.0,0.33,0.11,0.15,0.15,0.16
