,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.44,0.42,0.68,0.38,0.33,0.28,0.44,0.45,0.34,0.45,0.45
haphazard.csv,0.81,0.75,0.67,0.62,0.68,0.46,0.95,0.55,0.62,0.76,0.66
jicarilla.csv,0.9,0.0,0.81,0.75,0.0,0.0,0.67,0.5,0.0,0.94,0.67
jruby.csv,0.38,0.63,0.78,0.97,0.37,0.37,0.0,0.32,0.44,0.61,0.57
optalgtoolkit.csv,0.67,0.56,0.65,0.44,0.67,0.53,0.52,0.33,0.39,0.75,0.83
ossim.csv,0.9,0.72,0.6,0.6,0.5,0.38,0.55,0.31,0.39,0.41,0.81
projectts.csv,0.52,0.91,0.64,0.62,0.37,0.38,0.62,0.67,0.42,0.43,0.47
qedo.csv,0.91,0.8,0.8,0.93,0.95,0.57,0.86,0.44,0.92,0.69,0.88
sabbu.csv,0.44,0.52,0.93,0.46,0.53,0.83,0.52,0.86,0.57,0.6,0.66
vxl.csv,0.48,0.68,0.64,0.67,0.47,0.43,0.73,0.57,0.42,0.46,0.5
zact.csv,0.76,0.86,0.5,0.89,0.75,0.0,0.88,0.75,0.89,0.97,0.97
