,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.84,1.0,0.03,0.88,1.0,1.0,0.68,0.8,0.85,1.0,0.98
haphazard.csv,0.29,0.35,0.45,0.31,0.29,0.47,0.41,0.48,0.62,0.68,0.44
jicarilla.csv,0.09,0.0,0.88,0.0,0.0,0.0,0.05,0.43,0.0,0.05,0.02
jruby.csv,0.81,0.22,0.52,0.06,1.0,0.74,0.0,1.0,0.46,0.23,0.71
optalgtoolkit.csv,0.34,0.41,0.58,0.44,0.29,0.63,0.3,0.95,0.38,0.64,0.16
ossim.csv,0.22,0.24,0.27,0.81,0.0,0.42,0.43,0.8,0.31,0.09,0.21
projectts.csv,0.71,0.3,0.06,0.56,0.86,0.53,0.76,0.05,0.62,0.18,0.9
qedo.csv,0.17,0.05,0.39,0.06,0.0,0.53,0.11,0.64,0.31,0.77,0.05
sabbu.csv,0.71,0.62,0.15,0.62,0.86,0.11,0.41,0.11,0.54,0.32,0.62
vxl.csv,0.79,0.35,0.21,0.56,0.43,0.47,0.54,0.39,0.54,0.86,0.65
zact.csv,0.45,0.03,0.0,0.31,0.86,0.0,0.19,0.05,0.08,0.14,0.22
