,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.45,0.86,0.54,0.5,0.47,0.42,0.37,0.43,0.38,0.86,0.46,0.41,0.92,0.78
crisscross.csv,0.76,0.86,0.81,0.73,0.56,0.95,0.48,0.69,0.73,0.57,0.96,0.57,0.67,0.5
gisgraphy.csv,0.97,0.88,0.97,0.83,0.71,0.98,0.86,0.97,0.59,0.76,0.95,0.97,0.93,0.76
glelite.csv,0.49,0.42,0.45,0.42,0.38,0.42,0.36,0.39,0.33,0.52,0.49,0.34,0.46,0.31
gnome-jabber.csv,0.51,0.43,0.45,0.43,0.4,0.44,0.37,0.4,0.33,0.52,0.53,0.35,0.47,0.32
ivataopenportal.csv,0.69,0.65,0.75,0.62,0.71,0.56,0.8,0.62,0.63,0.85,0.82,0.47,0.69,0.44
mb-unit.csv,0.49,0.86,0.53,0.45,0.38,0.4,0.38,0.39,0.39,0.45,0.52,0.4,0.45,0.35
mvdsv.csv,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.82,0.69,0.8,0.99,0.91,0.91,0.91,0.96,0.86,0.73,0.88,0.79,0.99,0.86
olex2.csv,0.67,0.71,0.89,0.71,0.67,0.8,0.46,0.7,0.5,0.75,0.81,0.53,0.8,0.61
openwbem.csv,0.63,0.51,0.61,0.52,0.4,0.5,0.46,0.57,0.46,0.57,0.57,0.54,0.53,0.39
tencompetence.csv,0.85,0.0,0.82,0.85,0.68,0.6,0.64,0.61,0.56,0.8,0.76,0.9,0.63,0.83
xcmetadataservicestoolkit.csv,0.63,0.68,0.5,0.48,0.39,0.51,0.33,0.5,0.4,0.56,0.5,0.42,0.53,0.38
