,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.11,0.8,0.45,0.42,0.72,0.01,0.45,0.98,0.54,0.43,0.45,0.51,0.73
echongl.csv,0.1,0.75,0.25,0.25,0.91,0.01,0.41,0.94,0.36,0.49,0.38,0.26,0.82
les-indemodables.csv,0.1,0.77,0.3,0.28,0.75,0.01,0.4,0.96,0.45,0.52,0.43,0.5,0.86
mbse.csv,0.16,0.77,0.25,0.42,0.67,0.0,0.4,0.96,0.53,0.43,0.48,0.35,0.82
ns-3-dev-def-routing.csv,0.11,0.74,0.29,0.25,0.9,0.02,0.55,0.95,0.36,0.4,0.4,0.36,0.73
psycle.csv,0.13,0.79,0.33,0.27,0.74,0.01,0.44,0.96,0.45,0.38,0.47,0.5,0.9
qpe.csv,0.16,0.92,0.35,0.35,0.95,0.0,0.42,0.97,0.5,0.31,0.43,0.56,0.92
simplewebservices.csv,0.09,0.7,0.27,0.25,0.69,0.01,0.42,0.93,0.49,0.36,0.57,0.4,0.73
v8.csv,0.08,0.53,0.26,0.26,0.72,0.0,0.37,0.99,0.48,0.26,0.43,0.15,0.75
wikipediardware.csv,0.11,0.74,0.3,0.25,0.71,0.01,0.37,0.96,0.49,0.4,0.41,0.29,0.96
wxstudio.csv,0.06,0.68,0.21,0.18,0.53,0.01,0.45,0.92,0.7,0.24,0.67,0.39,0.68
xamj.csv,0.1,0.75,0.34,0.26,0.79,0.01,0.37,0.96,0.48,0.41,0.38,0.57,0.84
