,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.2,0.4,0.52,0.3,0.68,0.02,0.51,0.8,0.46,0.55,0.47,0.47,0.53
echongl.csv,0.18,0.69,0.39,0.39,0.89,0.02,0.5,0.9,0.37,0.6,0.46,0.38,0.51
les-indemodables.csv,0.18,0.64,0.43,0.43,0.71,0.02,0.48,0.86,0.53,0.6,0.46,0.48,0.63
mbse.csv,0.26,0.5,0.34,0.53,0.68,0.0,0.5,0.49,0.59,0.42,0.61,0.49,0.51
ns-3-dev-def-routing.csv,0.19,0.64,0.44,0.4,0.7,0.04,0.57,0.85,0.27,0.53,0.34,0.48,0.76
psycle.csv,0.22,0.69,0.49,0.42,0.76,0.03,0.56,0.86,0.48,0.54,0.61,0.6,0.64
qpe.csv,0.25,0.39,0.38,0.5,0.54,0.0,0.5,0.59,0.39,0.19,0.53,0.53,0.44
simplewebservices.csv,0.16,0.74,0.41,0.4,0.76,0.02,0.56,0.73,0.63,0.52,0.61,0.53,0.81
v8.csv,0.13,0.48,0.33,0.41,0.84,0.0,0.47,0.9,0.58,0.35,0.58,0.17,0.84
wikipediardware.csv,0.19,0.71,0.46,0.4,0.8,0.02,0.53,0.93,0.59,0.57,0.59,0.45,0.82
wxstudio.csv,0.1,0.2,0.19,0.11,0.25,0.03,0.3,0.29,0.7,0.15,0.04,0.3,0.64
xamj.csv,0.17,0.72,0.31,0.4,0.69,0.02,0.49,0.58,0.51,0.44,0.45,0.61,0.56
