,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.6,0.75,0.49,0.78,0.73,0.74,0.62,0.4,0.65,0.64,0.67,0.59,0.72
echongl.csv,0.63,0.55,0.96,0.96,0.25,0.81,0.68,0.86,0.8,0.51,0.78,0.92,0.67
les-indemodables.csv,0.61,0.55,0.7,0.8,0.66,0.93,0.71,0.52,0.69,0.47,0.69,0.57,0.54
mbse.csv,0.47,0.67,0.76,0.44,0.94,1.2,0.72,0.71,0.55,0.67,0.68,0.67,0.67
ns-3-dev-def-routing.csv,0.56,0.58,0.8,0.99,0.45,0.38,0.51,0.73,0.83,0.71,0.77,0.62,0.81
psycle.csv,0.5,0.5,0.7,0.89,0.77,0.6,0.69,0.58,0.68,0.87,0.74,0.41,0.52
qpe.csv,0.46,0.75,0.65,0.56,0.63,1.02,0.67,0.62,0.72,0.88,0.72,0.52,0.71
simplewebservices.csv,0.74,0.7,0.86,0.98,1.01,0.84,0.77,0.8,0.7,1.0,0.49,0.55,0.93
v8.csv,0.72,0.92,0.73,0.87,1.0,1.14,0.81,0.23,0.65,0.95,0.83,0.93,0.86
wikipediardware.csv,0.64,0.57,0.88,0.94,1.0,1.0,0.97,0.55,0.63,0.82,1.0,0.98,0.3
wxstudio.csv,0.79,0.89,0.86,0.93,0.92,0.57,0.8,0.86,0.37,0.91,0.98,0.77,0.88
xamj.csv,0.61,0.55,0.75,0.89,0.57,0.67,0.86,0.66,0.64,0.65,0.78,0.41,0.62
