,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.72,0.31,0.62,0.27,0.56,0.64,0.57,0.69,0.45,0.66,0.51,0.48,0.44
echongl.csv,0.66,0.63,0.23,0.17,0.85,0.54,0.57,0.44,0.4,0.72,0.51,0.38,0.41
les-indemodables.csv,0.66,0.57,0.6,0.54,0.61,0.27,0.56,0.71,0.58,0.68,0.5,0.51,0.54
mbse.csv,0.64,0.41,0.48,0.69,0.34,0.0,0.57,0.37,0.63,0.45,0.65,0.65,0.41
ns-3-dev-def-routing.csv,0.64,0.57,0.53,0.05,0.62,0.89,0.62,0.59,0.26,0.61,0.34,0.64,0.51
psycle.csv,0.72,0.63,0.65,0.38,0.56,0.77,0.63,0.69,0.51,0.44,0.61,0.74,0.55
qpe.csv,0.65,0.29,0.46,0.74,0.42,0.0,0.57,0.46,0.36,0.17,0.58,0.55,0.34
simplewebservices.csv,0.6,0.62,0.43,0.09,0.0,0.49,0.56,0.51,0.65,0.0,0.66,0.71,0.27
v8.csv,0.49,0.39,0.46,0.42,0.0,0.0,0.51,0.83,0.63,0.37,0.5,0.22,0.44
wikipediardware.csv,0.69,0.64,0.4,0.24,0.0,0.0,0.17,0.76,0.64,0.52,0.0,0.09,0.75
wxstudio.csv,0.38,0.15,0.21,0.1,0.19,0.79,0.26,0.2,0.71,0.13,0.02,0.29,0.44
xamj.csv,0.58,0.65,0.32,0.37,0.61,0.71,0.46,0.46,0.54,0.49,0.5,0.67,0.46
