,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.87,0.27,0.6,0.23,0.64,1.0,0.57,0.67,0.41,0.78,0.5,0.44,0.42
echongl.csv,0.77,0.64,0.82,0.95,0.87,1.0,0.62,0.85,0.38,0.78,0.57,0.71,0.37
les-indemodables.csv,0.74,0.54,0.72,0.94,0.68,1.0,0.61,0.77,0.65,0.7,0.49,0.47,0.5
mbse.csv,0.62,0.37,0.5,0.69,0.7,0.0,0.66,0.33,0.65,0.41,0.85,0.82,0.37
ns-3-dev-def-routing.csv,0.67,0.56,0.85,1.0,0.58,1.0,0.6,0.77,0.22,0.78,0.3,0.72,0.79
psycle.csv,0.77,0.62,0.9,1.0,0.79,1.0,0.78,0.79,0.51,0.92,0.9,0.76,0.5
qpe.csv,0.64,0.25,0.42,0.89,0.37,0.0,0.61,0.42,0.32,0.14,0.69,0.51,0.29
simplewebservices.csv,0.85,0.79,0.82,0.98,0.85,1.0,0.84,0.6,0.89,0.97,0.67,0.8,0.92
v8.csv,0.49,0.44,0.45,0.95,1.0,0.0,0.66,0.83,0.73,0.51,0.88,0.19,0.95
wikipediardware.csv,0.9,0.68,0.98,0.97,0.93,1.0,0.89,0.9,0.73,0.97,1.0,0.94,0.71
wxstudio.csv,0.36,0.12,0.18,0.08,0.16,1.0,0.22,0.17,0.7,0.11,0.02,0.25,0.61
xamj.csv,0.59,0.69,0.28,0.94,0.62,1.0,0.74,0.42,0.54,0.46,0.56,0.65,0.42
