,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.04,1.0,0.13,0.45,0.28,0.45,0.11,0.0,0.17,0.28,0.06,0.15,0.13,0.06,0.27
chaperon.csv,0.47,0.31,0.0,0.15,0.17,0.1,0.3,0.0,1.0,0.27,0.0,0.38,0.0,0.07,0.23
co-ode-owl-plugins.csv,0.42,0.42,0.91,0.5,0.71,0.48,0.48,0.11,0.0,0.18,0.0,0.6,0.18,0.35,0.0
e-bio-flow.csv,0.25,0.29,0.11,0.48,0.27,0.97,0.3,0.36,0.0,0.18,0.06,0.12,0.0,0.1,0.21
free-evolution.csv,0.25,0.63,0.09,0.34,0.39,0.43,0.34,0.0,0.0,0.07,0.0,0.27,0.0,0.89,0.08
jaxlib.csv,0.12,0.15,0.0,0.0,0.19,0.06,0.12,1.0,0.0,0.0,0.0,0.16,0.0,0.23,0.0
jmonkeyengine.csv,0.79,0.27,0.16,0.97,0.28,0.26,0.56,0.0,0.11,0.27,0.0,0.9,0.12,0.33,0.14
jmule.csv,0.69,0.62,0.31,0.49,0.75,0.58,0.49,0.09,0.1,0.34,0.03,0.61,0.07,0.28,0.96
kaffeine.csv,0.98,0.52,0.11,0.41,0.53,0.37,0.55,0.08,0.05,0.32,0.0,0.98,0.12,0.37,0.6
nodal.csv,0.65,0.56,0.09,0.46,0.64,0.38,0.4,0.06,0.0,0.98,0.0,0.25,0.11,0.25,0.46
ogrehg.csv,0.8,0.55,0.1,0.46,0.63,0.5,0.94,0.07,0.14,0.31,0.03,0.57,0.09,0.38,0.38
onotoa.csv,0.82,0.26,0.24,0.3,1.0,0.45,0.51,0.1,0.17,0.42,0.03,0.9,0.13,0.34,0.08
papertoolkit.csv,0.04,0.17,0.0,0.2,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08
