,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.26,0.33,0.29,0.59,0.79,0.88,0.22,0.93,0.2,0.38,0.42,0.61,0.48,0.27,0.23,0.0,0.13,0.0,0.38
bzbyte.csv,0.0,0.0,1.0,0.47,0.05,1.0,0.59,0.0,0.0,1.0,0.37,0.28,0.0,1.0,1.0,1.0,1.0,1.0,0.0
chrysalis.csv,0.12,0.29,0.1,0.47,0.19,0.19,0.04,0.33,0.65,0.21,0.26,0.22,0.32,0.05,0.55,0.0,0.28,1.0,0.21
dspace-gsoc.csv,0.37,0.86,0.32,0.53,0.91,0.88,0.67,0.81,0.89,0.62,0.32,0.78,0.63,0.45,0.63,0.0,0.6,1.0,0.95
fbmanager.csv,0.63,0.76,0.19,0.76,0.97,0.56,0.48,1.0,0.99,0.0,0.68,0.44,1.0,0.36,0.2,0.0,0.15,0.0,0.98
fityk.csv,0.3,0.67,0.52,0.59,0.35,0.62,0.3,0.41,0.71,0.33,0.42,0.72,0.8,0.41,0.41,0.0,0.13,1.0,0.36
fleet-simulator.csv,0.77,0.95,0.9,0.65,0.87,0.69,1.0,0.74,0.78,1.0,0.68,0.72,0.9,0.77,0.8,0.0,0.59,1.0,0.78
freenet.csv,0.6,0.86,0.84,0.59,0.38,0.31,1.0,0.56,0.85,0.75,1.0,0.22,0.94,0.77,0.64,0.62,0.6,1.0,0.68
google-caja.csv,0.3,0.86,0.39,0.53,0.77,0.81,0.7,0.22,0.9,0.29,0.74,1.0,0.7,0.68,0.51,0.0,0.48,1.0,0.89
k3b.csv,0.45,0.95,1.0,0.59,0.66,1.0,0.67,0.93,0.93,0.33,0.95,0.78,0.67,0.73,0.68,1.0,0.99,1.0,0.8
mediaportal.csv,0.12,0.19,0.0,0.12,0.08,0.25,0.11,0.07,0.13,0.08,0.26,0.0,0.25,0.18,0.13,0.0,0.04,0.0,0.08
myfaces.csv,0.29,0.24,0.06,0.41,0.21,0.44,0.22,0.0,0.2,0.17,0.26,0.39,0.34,0.32,0.1,0.0,0.02,0.0,0.47
onotoa.csv,0.82,0.33,0.29,0.88,0.38,0.62,0.22,0.41,0.85,0.54,0.68,0.5,0.38,0.73,0.83,0.88,0.28,1.0,0.75
paintown.csv,0.21,0.76,0.68,0.94,0.69,0.75,1.0,1.0,0.96,0.38,0.68,0.56,0.64,0.55,0.91,1.0,0.96,1.0,0.99
poormans.csv,0.33,0.38,0.26,0.18,0.24,0.19,0.41,0.04,0.25,0.25,0.32,0.11,0.89,0.5,0.19,0.0,0.03,0.0,0.04
sqlpower-library.csv,0.9,0.86,0.81,0.35,0.73,0.56,1.0,0.56,0.67,0.83,0.63,0.89,0.97,0.86,0.8,1.0,0.46,1.0,0.62
triplea.csv,0.3,0.24,0.35,0.47,0.88,0.56,0.37,0.59,0.84,0.5,0.16,0.61,0.54,0.27,0.73,0.0,0.34,0.0,0.66
xamj.csv,0.96,0.57,0.97,0.29,0.98,0.81,0.85,0.93,0.53,0.88,0.89,1.0,0.95,0.82,0.79,0.0,0.49,0.0,0.21
